GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
G.  Other product manufacture and use ,0.28862455,0.1068589991,0.0723630243705,0.00206281380616,Summary1.As1,DENMARK,1999,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,,Summary1.As1,DENMARK,1999,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),52128.03209486371,,,,Summary1.As1,DENMARK,2000,Subsector,1. Energy,,
                                           Sectoral approach(2),52758.63562979675,27.76157240487267,1.23809397640135,,Summary1.As1,DENMARK,2000,Subsector,1. Energy,,
1.  Energy industries,25849.24473196857,14.69036150780485,0.38287414730774,,Summary1.As1,DENMARK,2000,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,6064.897038731772,1.06106349442336,0.24571785329994,,Summary1.As1,DENMARK,2000,Subsector,1. Energy,,
3.  Transport,12433.090609077328,2.24161628703367,0.39393044401682,,Summary1.As1,DENMARK,2000,Subsector,1. Energy,,
4.  Other sectors,8207.696775088814,9.67612830977724,0.20974271633634,,Summary1.As1,DENMARK,2000,Subsector,1. Energy,,
5.  Other,203.7064749302637,0.09240280583355,0.00582881544051,,Summary1.As1,DENMARK,2000,Subsector,1. Energy,,
B. Fugitive emissions from fuels,723.4335321431686,11.38995570561552,0.00066018293985,,Summary1.As1,DENMARK,2000,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,723.4335321431686,11.38995570561552,0.00066018293985,,Summary1.As1,DENMARK,2000,Subsector,1. Energy,,
A.  Mineral industry,1632.35249208694,,,,Summary1.As1,DENMARK,2000,Subsector,1. Energy,,
C.  Metal industry,40.884,,,0.000891,Summary1.As1,DENMARK,2000,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,192.02941590315,0.0149685563962,0.000408826152,,Summary1.As1,DENMARK,2000,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,DENMARK,2000,Subsector,2.  Industrial processes and product use,735.346906785527,22.74635217675
G.  Other product manufacture and use ,0.20997183,0.119195455,0.067608728435,0.00160532679579,Summary1.As1,DENMARK,2000,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,,Summary1.As1,DENMARK,2000,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),53999.26786936736,,,,Summary1.As1,DENMARK,2001,Subsector,1. Energy,,
                                           Sectoral approach(2),54498.762229303946,28.48184958717627,1.25963839837177,,Summary1.As1,DENMARK,2001,Subsector,1. Energy,,
1.  Energy industries,27178.062215780057,15.57339767831902,0.3987233482735,,Summary1.As1,DENMARK,2001,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,6182.648113889862,1.11755579797664,0.24281478890148,,Summary1.As1,DENMARK,2001,Subsector,1. Energy,,
3.  Transport,12492.866493466632,2.04516764257945,0.38848377317439,,Summary1.As1,DENMARK,2001,Subsector,1. Energy,,
4.  Other sectors,8450.773244016113,9.65518121802614,0.22462322229183,,Summary1.As1,DENMARK,2001,Subsector,1. Energy,,
5.  Other,194.4121621512833,0.09054725027502,0.00499326573057,,Summary1.As1,DENMARK,2001,Subsector,1. Energy,,
B. Fugitive emissions from fuels,770.8486868489043,11.69050500396404,0.00064614665362,,Summary1.As1,DENMARK,2001,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,770.8486868489043,11.69050500396404,0.00064614665362,,Summary1.As1,DENMARK,2001,Subsector,1. Energy,,
A.  Mineral industry,1628.903427602,,,,Summary1.As1,DENMARK,2001,Subsector,1. Energy,,
C.  Metal industry,47.198,,,,Summary1.As1,DENMARK,2001,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,177.98767479613406,0.0193016125742,0.000394962168,,Summary1.As1,DENMARK,2001,Subsector,2.  Industrial processes and product use,,
E.  Electronic industry ,,,,,Summary1.As1,DENMARK,2001,Subsector,2.  Industrial processes and product use,8.68,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,DENMARK,2001,Subsector,2.  Industrial processes and product use,725.5894069820818,28.13310395863
G.  Other product manufacture and use ,0.165696805,0.1023989293,0.065858979819,0.00125729478114,Summary1.As1,DENMARK,2001,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,,Summary1.As1,DENMARK,2001,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),53266.62824845455,,,,Summary1.As1,DENMARK,2002,Subsector,1. Energy,,
                                           Sectoral approach(2),54119.83231619665,27.78301406362659,1.24674768883738,,Summary1.As1,DENMARK,2002,Subsector,1. Energy,,
1.  Energy industries,27364.023129442012,15.14021834468187,0.40571480214154,,Summary1.As1,DENMARK,2002,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,5828.58106111809,1.0178124564982,0.22532697954358,,Summary1.As1,DENMARK,2002,Subsector,1. Energy,,
3.  Transport,12656.239937852995,1.90959142654851,0.38666945384046,,Summary1.As1,DENMARK,2002,Subsector,1. Energy,,
4.  Other sectors,8080.442768144702,9.63000910889933,0.22360843678972,,Summary1.As1,DENMARK,2002,Subsector,1. Energy,,
5.  Other,190.5454196388395,0.08538272699868,0.00542801652208,,Summary1.As1,DENMARK,2002,Subsector,1. Energy,,
B. Fugitive emissions from fuels,674.5119980967178,11.36338998573036,0.00065464400447,,Summary1.As1,DENMARK,2002,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,674.5119980967178,11.36338998573036,0.00065464400447,,Summary1.As1,DENMARK,2002,Subsector,1. Energy,,
