GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent)
1. Energy,93129.64704086818,43.087038442235,2.23039596467841,,,Summary1.As1,BELGIUM,2009,Sector,
2.  Industrial processes and product use,13863.235681891036,1.6053417431,6.87432015920406,446.73615625349953,0.00410181755303,Summary1.As1,BELGIUM,2009,Sector,2731.8741687144875
1. Energy,97653.28771935934,47.61813547418226,2.38597281029832,,,Summary1.As1,BELGIUM,2010,Sector,
2.  Industrial processes and product use,16091.753144379953,1.7466824838,8.69650637377682,95.5951368860873,0.00460318748077,Summary1.As1,BELGIUM,2010,Sector,3015.444859707614
1. Energy,88194.77141866898,42.49882552573336,2.30926509916753,,,Summary1.As1,BELGIUM,2011,Sector,
2.  Industrial processes and product use,16167.90099742746,1.3342724728,4.85521310961511,151.49560661313427,0.00479551927017,Summary1.As1,BELGIUM,2011,Sector,3370.044936753493
1. Energy,87306.07611872476,42.31812190799311,2.4312756046021,,,Summary1.As1,BELGIUM,2012,Sector,
2.  Industrial processes and product use,14404.060704182586,1.4759681865,5.00876328558031,115.15520412513877,0.00488420270491,Summary1.As1,BELGIUM,2012,Sector,3389.48353331818
1. Energy,87088.56505510888,44.0290742326495,2.24974649055059,,,Summary1.As1,BELGIUM,2013,Sector,
2.  Industrial processes and product use,15133.59578352031,1.4852527501,4.5185233994819,128.27755498581843,0.00514561628037,Summary1.As1,BELGIUM,2013,Sector,3452.0414201238164
1. Energy,81312.04382986808,40.07169611861879,2.18181796415872,,,Summary1.As1,BELGIUM,2014,Sector,
2.  Industrial processes and product use,15306.073061099649,1.8500886677,4.239881236424,126.15507090690087,0.00417680027395,Summary1.As1,BELGIUM,2014,Sector,3686.908911476261
1. Energy,85235.42606795514,42.88783277809766,2.55533598835561,,,Summary1.As1,BELGIUM,2015,Sector,
2.  Industrial processes and product use,15425.551731219426,1.53573991474465,3.62732905653721,137.54304256974663,0.00406290498175,Summary1.As1,BELGIUM,2015,Sector,3795.65163356018
1. Energy,83456.38022736392,42.76559790365594,2.17484316001665,,,Summary1.As1,BELGIUM,2016,Sector,
2.  Industrial processes and product use,15714.45718639482,1.7460810613602,3.64632008230224,388.4359867831237,0.00427538543243,Summary1.As1,BELGIUM,2016,Sector,3775.2686046828535
1. Energy,82977.50025685188,42.08796548972124,2.18050155395457,,,Summary1.As1,BELGIUM,2017,Sector,
2.  Industrial processes and product use,15591.635011409737,1.5873707103,3.58416189138537,169.60723992527946,0.00445197978722,Summary1.As1,BELGIUM,2017,Sector,4072.862316240106
1. Energy,83499.44088743157,41.64395411254226,2.4797950014898,,,Summary1.As1,BELGIUM,2018,Sector,
2.  Industrial processes and product use,15988.109121753676,1.6358180812,2.95373452120764,121.19206205144116,0.00416055030039,Summary1.As1,BELGIUM,2018,Sector,4206.094633746707
1. Energy,83780.8789946251,42.35627106195463,2.17379347176464,,,Summary1.As1,BELGIUM,2019,Sector,
2.  Industrial processes and product use,15216.387876829916,1.3347712761,2.75649195705838,139.0855281664227,0.00464914486718,Summary1.As1,BELGIUM,2019,Sector,3701.949200477159
1. Energy,76387.4653914117,41.01491387589506,1.96301796991572,,,Summary1.As1,BELGIUM,2020,Sector,
