GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,SF6 (kt),HFCs(1) (kt CO2 equivalent),PFCs(1)
C. Grassland (4),6.62081805852317,4.299988128e-05,3.92607612e-06,Summary1.As2,ESTONIA,1991,Subsector,3.  Agriculture,,,
D. Wetlands (4),267.0071621535462,0.00420992,0.00785601142857,Summary1.As2,ESTONIA,1991,Subsector,3.  Agriculture,,,
G. Harvested wood products ,-22.61777178098585,,,Summary1.As2,ESTONIA,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Solid waste disposal (5),,9.14438722197868,,Summary1.As2,ESTONIA,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
B.  Biological treatment of solid waste (5),,0.028468,0.00170808,Summary1.As2,ESTONIA,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),2.2517867979597,0.04872902636508,0.00076631723321,Summary1.As2,ESTONIA,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,4.42697555763579,0.12946638286673,Summary1.As2,ESTONIA,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,41.88755408990582,,Summary1.As2,ESTONIA,1992,Subsector,3.  Agriculture,,,
B.  Manure management,,4.57616565811398,0.30945924544551,Summary1.As2,ESTONIA,1992,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,3.10459540760685,Summary1.As2,ESTONIA,1992,Subsector,3.  Agriculture,,,
G. Liming,2.60071874029784,,,Summary1.As2,ESTONIA,1992,Subsector,3.  Agriculture,,,
H. Urea application,0.48688262047983,,,Summary1.As2,ESTONIA,1992,Subsector,3.  Agriculture,,,
A. Forest land (4),-4812.173732020763,2.7013015706956,0.89416980718173,Summary1.As2,ESTONIA,1992,Subsector,3.  Agriculture,,,
B. Cropland (4),613.4270463335209,,,Summary1.As2,ESTONIA,1992,Subsector,3.  Agriculture,,,
C. Grassland (4),22.25408797011376,0.00132484116989,0.00012096375899,Summary1.As2,ESTONIA,1992,Subsector,3.  Agriculture,,,
D. Wetlands (4),1188.8416934929317,0.0042032,0.00784347142857,Summary1.As2,ESTONIA,1992,Subsector,3.  Agriculture,,,
G. Harvested wood products ,108.04704303613217,,,Summary1.As2,ESTONIA,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Solid waste disposal (5),,9.6752686887848,,Summary1.As2,ESTONIA,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
B.  Biological treatment of solid waste (5),,0.029908,0.00179448,Summary1.As2,ESTONIA,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),2.44810005331486,0.05485855250079,0.00086320663056,Summary1.As2,ESTONIA,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,4.34831054300213,0.12838515158048,Summary1.As2,ESTONIA,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,33.3522730085572,,Summary1.As2,ESTONIA,1993,Subsector,3.  Agriculture,,,
B.  Manure management,,3.63253715207208,0.25182482560532,Summary1.As2,ESTONIA,1993,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,2.37373650048871,Summary1.As2,ESTONIA,1993,Subsector,3.  Agriculture,,,
G. Liming,2.37805446458741,,,Summary1.As2,ESTONIA,1993,Subsector,3.  Agriculture,,,
H. Urea application,0.197264620177,,,Summary1.As2,ESTONIA,1993,Subsector,3.  Agriculture,,,
A. Forest land (4),-4843.422473285368,2.6393866278522,0.89437357214026,Summary1.As2,ESTONIA,1993,Subsector,3.  Agriculture,,,
B. Cropland (4),447.2680311354076,,,Summary1.As2,ESTONIA,1993,Subsector,3.  Agriculture,,,
C. Grassland (4),35.2429144926313,0.00047974522722,4.380282509e-05,Summary1.As2,ESTONIA,1993,Subsector,3.  Agriculture,,,
D. Wetlands (4),272.5542737793638,0.00420976,0.00785571285714,Summary1.As2,ESTONIA,1993,Subsector,3.  Agriculture,,,
G. Harvested wood products ,60.19452163784788,,,Summary1.As2,ESTONIA,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Solid waste disposal (5),,10.5940247235743,,Summary1.As2,ESTONIA,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
B.  Biological treatment of solid waste (5),,0.031428,0.00188568,Summary1.As2,ESTONIA,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),2.21137684641074,0.04746729875675,0.00074642520197,Summary1.As2,ESTONIA,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,4.28669671111324,0.11719737505001,Summary1.As2,ESTONIA,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,30.658626704078,,Summary1.As2,ESTONIA,1994,Subsector,3.  Agriculture,,,
B.  Manure management,,3.61687631872951,0.23201464984983,Summary1.As2,ESTONIA,1994,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,2.1154917088743,Summary1.As2,ESTONIA,1994,Subsector,3.  Agriculture,,,
G. Liming,2.15539018887698,,,Summary1.As2,ESTONIA,1994,Subsector,3.  Agriculture,,,
H. Urea application,0.65634126441542,,,Summary1.As2,ESTONIA,1994,Subsector,3.  Agriculture,,,
A. Forest land (4),-4874.807138229294,2.63200711173864,0.89529596448595,Summary1.As2,ESTONIA,1994,Subsector,3.  Agriculture,,,
B. Cropland (4),302.6279414948298,,,Summary1.As2,ESTONIA,1994,Subsector,3.  Agriculture,,,
C. Grassland (4),53.40938918489259,0.00033836458306,3.089415758e-05,Summary1.As2,ESTONIA,1994,Subsector,3.  Agriculture,,,
D. Wetlands (4),1048.0161352803823,0.00419712,0.00783212571429,Summary1.As2,ESTONIA,1994,Subsector,3.  Agriculture,,,
G. Harvested wood products ,19.43011032863932,,,Summary1.As2,ESTONIA,1994,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Solid waste disposal (5),,10.6044460549133,,Summary1.As2,ESTONIA,1994,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
B.  Biological treatment of solid waste (5),,0.033024,0.00198144,Summary1.As2,ESTONIA,1994,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),2.60404441468434,0.05972763297628,0.00094013785137,Summary1.As2,ESTONIA,1994,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,4.21335972363584,0.11464466625128,Summary1.As2,ESTONIA,1994,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,27.16676565902077,,Summary1.As2,ESTONIA,1995,Subsector,3.  Agriculture,,,
B.  Manure management,,3.35132987717082,0.20026827811129,Summary1.As2,ESTONIA,1995,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,1.8633960334009,Summary1.As2,ESTONIA,1995,Subsector,3.  Agriculture,,,
G. Liming,3.59357047518722,,,Summary1.As2,ESTONIA,1995,Subsector,3.  Agriculture,,,
H. Urea application,0.6402169460792,,,Summary1.As2,ESTONIA,1995,Subsector,3.  Agriculture,,,
A. Forest land (4),-4909.133334962703,2.62025853814901,0.89618389166673,Summary1.As2,ESTONIA,1995,Subsector,3.  Agriculture,,,
B. Cropland (4),258.4786112306176,,,Summary1.As2,ESTONIA,1995,Subsector,3.  Agriculture,,,
C. Grassland (4),70.78654064960865,0.00013782203329,1.258375087e-05,Summary1.As2,ESTONIA,1995,Subsector,3.  Agriculture,,,
D. Wetlands (4),944.1118256137156,0.00418448,0.00780853857143,Summary1.As2,ESTONIA,1995,Subsector,3.  Agriculture,,,
G. Harvested wood products ,-28.75246953248138,,,Summary1.As2,ESTONIA,1995,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Solid waste disposal (5),,10.1518920886814,,Summary1.As2,ESTONIA,1995,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
B.  Biological treatment of solid waste (5),,0.0355992,0.002135952,Summary1.As2,ESTONIA,1995,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),2.98773937684834,0.06740088705674,0.00102142430363,Summary1.As2,ESTONIA,1995,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,4.15062490509313,0.1137729690014,Summary1.As2,ESTONIA,1995,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,25.64821146217145,,Summary1.As2,ESTONIA,1996,Subsector,3.  Agriculture,,,
B.  Manure management,,2.56402481731727,0.17349054911678,Summary1.As2,ESTONIA,1996,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,1.73076424606116,Summary1.As2,ESTONIA,1996,Subsector,3.  Agriculture,,,
G. Liming,3.64841063706973,,,Summary1.As2,ESTONIA,1996,Subsector,3.  Agriculture,,,
H. Urea application,0.59212244332449,,,Summary1.As2,ESTONIA,1996,Subsector,3.  Agriculture,,,
A. Forest land (4),-4946.299618780804,2.64724895254466,0.89745352041891,Summary1.As2,ESTONIA,1996,Subsector,3.  Agriculture,,,
B. Cropland (4),201.77351198883028,,,Summary1.As2,ESTONIA,1996,Subsector,3.  Agriculture,,,
C. Grassland (4),78.4749277295801,0.00042925743557,3.91930702e-05,Summary1.As2,ESTONIA,1996,Subsector,3.  Agriculture,,,
D. Wetlands (4),788.8741826137153,0.00417184,0.00778495142857,Summary1.As2,ESTONIA,1996,Subsector,3.  Agriculture,,,
G. Harvested wood products ,-148.0961613969383,,,Summary1.As2,ESTONIA,1996,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Solid waste disposal (5),,11.8846207505029,,Summary1.As2,ESTONIA,1996,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
B.  Biological treatment of solid waste (5),,0.0240156,0.001440936,Summary1.As2,ESTONIA,1996,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),2.45944828009594,0.06999389387895,0.00110551503858,Summary1.As2,ESTONIA,1996,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
