GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
H.  Other(3),0.29134496573884,,,,Summary1.As1,CZECH REPUBLIC,1998,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),102598.14986888703,,,,Summary1.As1,CZECH REPUBLIC,1999,Subsector,1. Energy,,
                                           Sectoral approach(2),104367.91757712464,33.97468029346497,2.16799610235889,,Summary1.As1,CZECH REPUBLIC,1999,Subsector,1. Energy,,
1.  Energy industries,57952.81159616939,0.8589156987997,0.84162151098654,,Summary1.As1,CZECH REPUBLIC,1999,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,18400.28839380493,1.56492748285343,0.22506798665442,,Summary1.As1,CZECH REPUBLIC,1999,Subsector,1. Energy,,
3.  Transport,11827.219036522214,3.21300694127931,0.78126476154662,,Summary1.As1,CZECH REPUBLIC,1999,Subsector,1. Energy,,
4.  Other sectors,16023.60788322811,28.31657983430819,0.31478364324532,,Summary1.As1,CZECH REPUBLIC,1999,Subsector,1. Energy,,
5.  Other,163.9906674,0.02125033622434,0.00525819992599,,Summary1.As1,CZECH REPUBLIC,1999,Subsector,1. Energy,,
B. Fugitive emissions from fuels,313.95604462708485,328.1071549527494,0.00011206284253,,Summary1.As1,CZECH REPUBLIC,1999,Subsector,1. Energy,,
1.  Solid fuels,306.32966000000005,291.613157,,,Summary1.As1,CZECH REPUBLIC,1999,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,7.62638462708478,36.49399795274935,0.00011206284253,,Summary1.As1,CZECH REPUBLIC,1999,Subsector,1. Energy,,
B.  Chemical industry,1802.282863,1.723363732,3.0877277,,Summary1.As1,CZECH REPUBLIC,1999,Subsector,2.  Industrial processes and product use,,
C.  Metal industry,6279.177503344319,0.42827213692308,,,Summary1.As1,CZECH REPUBLIC,1999,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,114.36248266666666,,,,Summary1.As1,CZECH REPUBLIC,1999,Subsector,2.  Industrial processes and product use,,
E.  Electronic industry ,,,,0.0003515,Summary1.As1,CZECH REPUBLIC,1999,Subsector,2.  Industrial processes and product use,0.2356,0.19210425
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CZECH REPUBLIC,1999,Subsector,2.  Industrial processes and product use,635.6639123993112,0.88842675003472
G.  Other product manufacture and use ,,,0.692,0.00385623761613,Summary1.As1,CZECH REPUBLIC,1999,Subsector,2.  Industrial processes and product use,,
H.  Other(3),0.30715368001959,,,,Summary1.As1,CZECH REPUBLIC,1999,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),113224.05307041164,,,,Summary1.As1,CZECH REPUBLIC,2000,Subsector,1. Energy,,
                                           Sectoral approach(2),113580.81848349256,35.40858946391726,2.34033503807402,,Summary1.As1,CZECH REPUBLIC,2000,Subsector,1. Energy,,
1.  Energy industries,61773.04978834248,0.86261380088083,0.89708598554462,,Summary1.As1,CZECH REPUBLIC,2000,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,23293.030851975444,1.93483931545633,0.28266697652543,,Summary1.As1,CZECH REPUBLIC,2000,Subsector,1. Energy,,
3.  Transport,11933.065763006158,3.0936039066487,0.82491064192904,,Summary1.As1,CZECH REPUBLIC,2000,Subsector,1. Energy,,
4.  Other sectors,16405.00964586846,29.49483314032242,0.33026935922393,,Summary1.As1,CZECH REPUBLIC,2000,Subsector,1. Energy,,
5.  Other,176.6624343,0.02269930060898,0.005402074851,,Summary1.As1,CZECH REPUBLIC,2000,Subsector,1. Energy,,
B. Fugitive emissions from fuels,322.43520367967216,293.78569847526654,0.00010732755682,,Summary1.As1,CZECH REPUBLIC,2000,Subsector,1. Energy,,
