GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
                                           Sectoral approach(2),2550.662726199165,0.21698418125023,0.03124588197587,,Summary1.As1,MALTA,1997,Subsector,1. Energy,,
1.  Energy industries,1611.63054,0.0625818,0.01251636,,Summary1.As1,MALTA,1997,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,78.3028146356664,0.00303215291904,0.00059856447346,,Summary1.As1,MALTA,1997,Subsector,1. Energy,,
3.  Transport,476.929225152787,0.10298287451265,0.01431967793706,,Summary1.As1,MALTA,1997,Subsector,1. Energy,,
4.  Other sectors,382.7057760806598,0.04833376392116,0.00378093322215,,Summary1.As1,MALTA,1997,Subsector,1. Energy,,
5.  Other,1.09437033005173,5.358989738e-05,3.03463432e-05,,Summary1.As1,MALTA,1997,Subsector,1. Energy,,
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,1997,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,1997,Subsector,1. Energy,,
A.  Mineral industry,1.537188055,,,,Summary1.As1,MALTA,1997,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,3.45766523542725,,,,Summary1.As1,MALTA,1997,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MALTA,1997,Subsector,2.  Industrial processes and product use,0.00427458686483,
G.  Other product manufacture and use ,,,0.00892011128019,6.3476e-05,Summary1.As1,MALTA,1997,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),2142.6815666666685,,,,Summary1.As1,MALTA,1998,Subsector,1. Energy,,
                                           Sectoral approach(2),2519.9741912872505,0.20760323169182,0.03115866488349,,Summary1.As1,MALTA,1998,Subsector,1. Energy,,
1.  Energy industries,1636.40886,0.0635202,0.01270404,,Summary1.As1,MALTA,1998,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,59.7247004628607,0.0022589648026,0.00044405337959,,Summary1.As1,MALTA,1998,Subsector,1. Energy,,
3.  Transport,483.5355533666112,0.09971306043019,0.01457580076826,,Summary1.As1,MALTA,1998,Subsector,1. Energy,,
4.  Other sectors,339.22614758923385,0.04205723190686,0.00340485651153,,Summary1.As1,MALTA,1998,Subsector,1. Energy,,
5.  Other,1.07892986854485,5.377455217e-05,2.991422411e-05,,Summary1.As1,MALTA,1998,Subsector,1. Energy,,
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,1998,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,1998,Subsector,1. Energy,,
A.  Mineral industry,0.963443135,,,,Summary1.As1,MALTA,1998,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,3.45313238575535,,,,Summary1.As1,MALTA,1998,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MALTA,1998,Subsector,2.  Industrial processes and product use,0.00683576310424,
G.  Other product manufacture and use ,,,0.00892534134413,6.4266e-05,Summary1.As1,MALTA,1998,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),2346.709310000002,,,,Summary1.As1,MALTA,1999,Subsector,1. Energy,,
                                           Sectoral approach(2),2568.708435905349,0.20316560015878,0.0320556231426,,Summary1.As1,MALTA,1999,Subsector,1. Energy,,
1.  Energy industries,1709.5157399999998,0.0664638,0.01329276,,Summary1.As1,MALTA,1999,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,63.4621764331532,0.00242410619885,0.000477266465,,Summary1.As1,MALTA,1999,Subsector,1. Energy,,
3.  Transport,491.6124245303615,0.09698925199636,0.01498348134672,,Summary1.As1,MALTA,1999,Subsector,1. Energy,,
4.  Other sectors,302.99471352600926,0.03723085006968,0.00327100845379,,Summary1.As1,MALTA,1999,Subsector,1. Energy,,
5.  Other,1.12338141582489,5.759189389e-05,3.110687709e-05,,Summary1.As1,MALTA,1999,Subsector,1. Energy,,
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,1999,Subsector,1. Energy,,
