GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
"4.  Land use, land-use change and forestry  (4)",-5.10723470138757,0.000969,0.00086179860355,,Summary1.As2,MALTA,1999,Sector,,
5.  Waste,0.34538988,4.7090862052011,0.04149437342352,,Summary1.As2,MALTA,1999,Sector,,
3.  Agriculture,,2.33474995394781,0.15040091878113,,Summary1.As2,MALTA,2000,Sector,,
"4.  Land use, land-use change and forestry  (4)",-5.20524767982058,0.000969,0.00090052189159,,Summary1.As2,MALTA,2000,Sector,,
5.  Waste,0.34538988,5.07585479016072,0.0434881393657,,Summary1.As2,MALTA,2000,Sector,,
3.  Agriculture,,2.22847376210262,0.14832048770493,,Summary1.As2,MALTA,2001,Sector,,
"4.  Land use, land-use change and forestry  (4)",-2.63220232260076,0.000969,0.000739785125,,Summary1.As2,MALTA,2001,Sector,,
5.  Waste,0.34538988,5.3451196436561,0.04316212730369,,Summary1.As2,MALTA,2001,Sector,,
3.  Agriculture,,2.21782536730204,0.14616588984064,,Summary1.As2,MALTA,2002,Sector,,
"4.  Land use, land-use change and forestry  (4)",21.07100620155328,0.000969,0.00078114337968,,Summary1.As2,MALTA,2002,Sector,,
5.  Waste,0.34538988,5.62595500064093,0.0416442278067,,Summary1.As2,MALTA,2002,Sector,,
3.  Agriculture,,2.13255244738028,0.14222584094154,,Summary1.As2,MALTA,2003,Sector,,
"4.  Land use, land-use change and forestry  (4)",21.05002649583818,0.000969,0.00082405195939,,Summary1.As2,MALTA,2003,Sector,,
5.  Waste,0.34538988,5.95596752570032,0.04303453827328,,Summary1.As2,MALTA,2003,Sector,,
3.  Agriculture,,2.23123070977092,0.1453959725534,,Summary1.As2,MALTA,2004,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.55194797031835,0.000969,0.00085537147201,,Summary1.As2,MALTA,2004,Sector,,
5.  Waste,0.31560188,6.28187252263763,0.04375146975019,,Summary1.As2,MALTA,2004,Sector,,
3.  Agriculture,,1.99094074538722,0.13478563675441,,Summary1.As2,MALTA,2005,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.75055890708468,0.000969,0.00087398424334,,Summary1.As2,MALTA,2005,Sector,,
5.  Waste,0.31560188,6.606615490976,0.04314565498956,,Summary1.As2,MALTA,2005,Sector,,
3.  Agriculture,,1.95202865957281,0.13355175580965,,Summary1.As2,MALTA,2006,Sector,,
"4.  Land use, land-use change and forestry  (4)",-1.94226446582299,0.000969,0.00085127232931,,Summary1.As2,MALTA,2006,Sector,,
5.  Waste,0.31560188,6.88698643199511,0.04485869602159,,Summary1.As2,MALTA,2006,Sector,,
3.  Agriculture,,1.97378613316955,0.13669649654893,,Summary1.As2,MALTA,2007,Sector,,
"4.  Land use, land-use change and forestry  (4)",-1.69855248160052,0.000969,0.00083838700589,,Summary1.As2,MALTA,2007,Sector,,
5.  Waste,0.31560188,7.05679811367365,0.04152879713788,,Summary1.As2,MALTA,2007,Sector,,
3.  Agriculture,,1.88534324951816,0.13644454115748,,Summary1.As2,MALTA,2008,Sector,,
"4.  Land use, land-use change and forestry  (4)",11.76595555509731,0.000969,0.00080714976475,,Summary1.As2,MALTA,2008,Sector,,
5.  Waste,0.35195453333333,3.84255678619555,0.03891756139278,,Summary1.As2,MALTA,2008,Sector,,
3.  Agriculture,,1.79247405450508,0.13590808596233,,Summary1.As2,MALTA,2009,Sector,,
"4.  Land use, land-use change and forestry  (4)",11.20008245156917,0.000969,0.0007757032425,,Summary1.As2,MALTA,2009,Sector,,
5.  Waste,0.47791575333333,4.4833983504967,0.03565750763836,,Summary1.As2,MALTA,2009,Sector,,
3.  Agriculture,,1.73307013142082,0.13782866958735,,Summary1.As2,MALTA,2010,Sector,,
"4.  Land use, land-use change and forestry  (4)",11.01256564690121,,0.00071116017845,,Summary1.As2,MALTA,2010,Sector,,
5.  Waste,0.52165380666667,4.03251540951412,0.03917847175374,,Summary1.As2,MALTA,2010,Sector,,
3.  Agriculture,,1.66975719537272,0.13501772282773,,Summary1.As2,MALTA,2011,Sector,,
"4.  Land use, land-use change and forestry  (4)",-2.14998332539649,,0.00068470974456,,Summary1.As2,MALTA,2011,Sector,,
5.  Waste,0.68737278133333,4.03015299561373,0.02052700688266,,Summary1.As2,MALTA,2011,Sector,,
3.  Agriculture,,1.69876034330739,0.13834178638716,,Summary1.As2,MALTA,2012,Sector,,
"4.  Land use, land-use change and forestry  (4)",-1.95586515353332,,0.00065831711259,,Summary1.As2,MALTA,2012,Sector,,
5.  Waste,0.6151277,4.15478071031547,0.01484286152729,,Summary1.As2,MALTA,2012,Sector,,
3.  Agriculture,,1.67932697439653,0.14132177901954,,Summary1.As2,MALTA,2013,Sector,,
"4.  Land use, land-use change and forestry  (4)",-1.76904523548338,,0.00063198228255,,Summary1.As2,MALTA,2013,Sector,,
5.  Waste,0.46066922,4.10842310239456,0.0157534374506,,Summary1.As2,MALTA,2013,Sector,,
3.  Agriculture,,1.6569397781604,0.14378335055829,,Summary1.As2,MALTA,2014,Sector,,
"4.  Land use, land-use change and forestry  (4)",-4.33178327322264,,0.00060479931585,,Summary1.As2,MALTA,2014,Sector,,
5.  Waste,0.6436848,4.60143271700356,0.01866706417022,,Summary1.As2,MALTA,2014,Sector,,
3.  Agriculture,,1.64241086574593,0.14593401503414,,Summary1.As2,MALTA,2015,Sector,,
"4.  Land use, land-use change and forestry  (4)",-3.96501476774861,,0.0005793937976,,Summary1.As2,MALTA,2015,Sector,,
5.  Waste,0.57102298,5.11436238641619,0.0226287445569,,Summary1.As2,MALTA,2015,Sector,,
3.  Agriculture,,1.6495746857297,0.14862573133194,,Summary1.As2,MALTA,2016,Sector,,
"4.  Land use, land-use change and forestry  (4)",-3.94701522913504,,0.00055233429174,,Summary1.As2,MALTA,2016,Sector,,
5.  Waste,0.52412756,5.54582066824656,0.02127138798698,,Summary1.As2,MALTA,2016,Sector,,
3.  Agriculture,,1.60775032083691,0.15010442632617,,Summary1.As2,MALTA,2017,Sector,,
"4.  Land use, land-use change and forestry  (4)",0.91259221765785,,0.00056274902134,,Summary1.As2,MALTA,2017,Sector,,
5.  Waste,0.50802590666667,5.47792619982402,0.02180955137932,,Summary1.As2,MALTA,2017,Sector,,
3.  Agriculture,,1.62869212586468,0.14325725024315,,Summary1.As2,MALTA,2018,Sector,,
"4.  Land use, land-use change and forestry  (4)",0.24777076013219,,0.00059209515558,,Summary1.As2,MALTA,2018,Sector,,
5.  Waste,0.55496730666667,5.76083588952994,0.02224298797778,,Summary1.As2,MALTA,2018,Sector,,
3.  Agriculture,,1.6464936791691,0.15211633763313,,Summary1.As2,MALTA,2019,Sector,,
"4.  Land use, land-use change and forestry  (4)",5.34580912591169,,0.00139790970376,,Summary1.As2,MALTA,2019,Sector,,
5.  Waste,0.55433213,6.28506551103976,0.02950094871378,,Summary1.As2,MALTA,2019,Sector,,
3.  Agriculture,,1.6834119590663,0.15901487562838,,Summary1.As2,MALTA,2020,Sector,,
"4.  Land use, land-use change and forestry  (4)",7.69680713673067,,0.00220378081416,,Summary1.As2,MALTA,2020,Sector,,
5.  Waste,0.64513102133333,6.5316602215132,0.02734032168795,,Summary1.As2,MALTA,2020,Sector,,
3.  Agriculture,,1.66755008848322,0.15478252957083,,Summary1.As2,MALTA,2021,Sector,,
"4.  Land use, land-use change and forestry  (4)",0.05623233070511,,0.00219688536585,,Summary1.As2,MALTA,2021,Sector,,
5.  Waste,0.438374684,6.87207758169986,0.03051049396209,,Summary1.As2,MALTA,2021,Sector,,
