GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
3.  Agriculture,1552.7881232073594,1018.5164470870818,52.01305490264079,,,,Summary1.As2,GBR,2008,Sector
"4.  Land use, land-use change and forestry  (4)",-5130.821460931492,199.06808980874484,5.49680129312228,,,,Summary1.As2,GBR,2008,Sector
5.  Waste,400.74986468622586,1423.1785408570554,4.50953840008421,,,,Summary1.As2,GBR,2008,Sector
3.  Agriculture,1594.4578822683177,1007.3191464729612,51.90453462649174,,,,Summary1.As2,GBR,2009,Sector
"4.  Land use, land-use change and forestry  (4)",-5183.412229993395,199.0955824020873,5.37794510909182,,,,Summary1.As2,GBR,2009,Sector
5.  Waste,370.1828753220255,1267.4021261993048,4.734188571087,,,,Summary1.As2,GBR,2009,Sector
3.  Agriculture,1530.1272732510508,1014.543723219802,52.48933596760251,,,,Summary1.As2,GBR,2010,Sector
"4.  Land use, land-use change and forestry  (4)",-5254.814476897444,200.02481614610005,5.32633705760652,,,,Summary1.As2,GBR,2010,Sector
5.  Waste,353.83329240480685,1080.3205561105888,5.0631492344744,,,,Summary1.As2,GBR,2010,Sector
3.  Agriculture,1524.6231849114934,1007.6579157649488,52.86489253227618,,,,Summary1.As2,GBR,2011,Sector
"4.  Land use, land-use change and forestry  (4)",-5869.813467645632,200.69108877535845,5.32345305174627,,,,Summary1.As2,GBR,2011,Sector
5.  Waste,332.10664622766666,997.515687130376,5.2284437808298,,,,Summary1.As2,GBR,2011,Sector
3.  Agriculture,1477.2971914016146,1003.993444518914,52.23437363631907,,,,Summary1.As2,GBR,2012,Sector
"4.  Land use, land-use change and forestry  (4)",-5655.68674023517,200.2764438482904,5.2132744917257,,,,Summary1.As2,GBR,2012,Sector
5.  Waste,325.7505661584421,938.0312713033042,5.23667761836157,,,,Summary1.As2,GBR,2012,Sector
3.  Agriculture,1314.314325086414,998.5226480504374,52.43425499274342,,,,Summary1.As2,GBR,2013,Sector
"4.  Land use, land-use change and forestry  (4)",-5711.7501975386685,200.7874815587193,5.16218926207862,,,,Summary1.As2,GBR,2013,Sector
5.  Waste,321.731445951787,821.4052816685993,5.33237286848082,,,,Summary1.As2,GBR,2013,Sector
3.  Agriculture,1389.3216594969206,1024.8421386637713,54.44763678172502,,,,Summary1.As2,GBR,2014,Sector
"4.  Land use, land-use change and forestry  (4)",-6053.7211371989415,200.0885812864098,5.04250264648239,,,,Summary1.As2,GBR,2014,Sector
5.  Waste,327.63604233315,733.9403028114624,5.55543960634195,,,,Summary1.As2,GBR,2014,Sector
3.  Agriculture,1372.4774077292757,1028.9387221170784,53.77081590765029,,,,Summary1.As2,GBR,2015,Sector
"4.  Land use, land-use change and forestry  (4)",-5873.050841258964,201.1971931842218,5.01527167667698,,,,Summary1.As2,GBR,2015,Sector
5.  Waste,311.0210443659128,709.0465023087736,5.61056084713771,,,,Summary1.As2,GBR,2015,Sector
3.  Agriculture,1376.6359638182955,1025.053428581092,52.45198444163456,,,,Summary1.As2,GBR,2016,Sector
"4.  Land use, land-use change and forestry  (4)",-5811.491987096886,201.40301899602568,4.98562231511114,,,,Summary1.As2,GBR,2016,Sector
5.  Waste,324.0463648379365,678.5160977002844,5.6841749191837,,,,Summary1.As2,GBR,2016,Sector
3.  Agriculture,1275.1150913195302,1028.7537209867917,53.6190739646571,,,,Summary1.As2,GBR,2017,Sector
"4.  Land use, land-use change and forestry  (4)",-6055.538395659391,201.36747609369752,4.92945080379635,,,,Summary1.As2,GBR,2017,Sector
5.  Waste,311.80816638370766,691.612189319218,5.8767463264186,,,,Summary1.As2,GBR,2017,Sector
3.  Agriculture,1295.670181533386,1009.1230885337584,52.9172088532176,,,,Summary1.As2,GBR,2018,Sector
"4.  Land use, land-use change and forestry  (4)",-5500.418254355141,203.22387203002336,4.97068934803437,,,,Summary1.As2,GBR,2018,Sector
5.  Waste,305.8660426724512,694.1777914495373,5.79101490908265,,,,Summary1.As2,GBR,2018,Sector
3.  Agriculture,1444.8920360909,1010.626562827588,53.22703479089266,,,,Summary1.As2,GBR,2019,Sector
"4.  Land use, land-use change and forestry  (4)",-5227.680375595922,204.63354933374848,5.00872797389133,,,,Summary1.As2,GBR,2019,Sector
5.  Waste,302.48052153215804,683.2867562904369,5.87983938797727,,,,Summary1.As2,GBR,2019,Sector
3.  Agriculture,1353.8623662367504,997.1828805333968,49.97617790549848,,,,Summary1.As2,GBR,2020,Sector
"4.  Land use, land-use change and forestry  (4)",-5733.976000299713,203.33527186732303,4.90396596828234,,,,Summary1.As2,GBR,2020,Sector
5.  Waste,306.22363852389003,629.4718664723728,5.84192187887006,,,,Summary1.As2,GBR,2020,Sector
3.  Agriculture,1430.5189780129394,1002.255584348215,51.3086575989282,,,,Summary1.As2,GBR,2021,Sector
"4.  Land use, land-use change and forestry  (4)",-5818.626823430596,203.35895716955903,4.8635798010391,,,,Summary1.As2,GBR,2021,Sector
5.  Waste,335.70365281285507,613.195321610275,6.03533756319182,,,,Summary1.As2,GBR,2021,Sector
International bunkers,24271.88183065447,0.44290986744877,0.90837589239406,,,,Summary1.As3,GBR,1990,Sector
CO2 emissions from biomass,3849.139210894813,,,,,,Summary1.As3,GBR,1990,Sector
Indirect N2O,,,13.80953057549712,,,,Summary1.As3,GBR,1990,Sector
International bunkers,23987.35844615629,0.38217180477497,0.89828170078315,,,,Summary1.As3,GBR,1991,Sector
CO2 emissions from biomass,3930.222437793754,,,,,,Summary1.As3,GBR,1991,Sector
Indirect N2O,,,13.50517806928186,,,,Summary1.As3,GBR,1991,Sector
International bunkers,25817.507716357057,0.36438727366065,0.95955047409246,,,,Summary1.As3,GBR,1992,Sector
CO2 emissions from biomass,4251.335368228465,,,,,,Summary1.As3,GBR,1992,Sector
Indirect N2O,,,13.22923039146129,,,,Summary1.As3,GBR,1992,Sector
International bunkers,26756.47342960094,0.34796712575219,0.98572963008135,,,,Summary1.As3,GBR,1993,Sector
CO2 emissions from biomass,4368.916794738579,,,,,,Summary1.As3,GBR,1993,Sector
Indirect N2O,,,12.5886546559784,,,,Summary1.As3,GBR,1993,Sector
International bunkers,26912.982598157305,0.31851586314054,0.98003655368696,,,,Summary1.As3,GBR,1994,Sector
CO2 emissions from biomass,6159.935520770158,,,,,,Summary1.As3,GBR,1994,Sector
Indirect N2O,,,12.45109861865818,,,,Summary1.As3,GBR,1994,Sector
International bunkers,28631.20892262432,0.32419253377595,1.04339519678708,,,,Summary1.As3,GBR,1995,Sector
CO2 emissions from biomass,6551.695598299095,,,,,,Summary1.As3,GBR,1995,Sector
Indirect N2O,,,12.02337989026401,,,,Summary1.As3,GBR,1995,Sector
International bunkers,30721.38087812836,0.34074436731885,1.12430490638659,,,,Summary1.As3,GBR,1996,Sector
CO2 emissions from biomass,6700.156139249894,,,,,,Summary1.As3,GBR,1996,Sector
Indirect N2O,,,11.60930386204646,,,,Summary1.As3,GBR,1996,Sector
International bunkers,32971.798096308245,0.3558655119454,1.21074948758567,,,,Summary1.As3,GBR,1997,Sector
CO2 emissions from biomass,6068.312248021365,,,,,,Summary1.As3,GBR,1997,Sector
Indirect N2O,,,10.83624314591378,,,,Summary1.As3,GBR,1997,Sector
International bunkers,36130.4504167051,0.36500020265632,1.31961397230708,,,,Summary1.As3,GBR,1998,Sector
CO2 emissions from biomass,6782.96919523534,,,,,,Summary1.As3,GBR,1998,Sector
Indirect N2O,,,10.67565725791487,,,,Summary1.As3,GBR,1998,Sector
International bunkers,36080.40112783905,0.31296479363626,1.28336968459127,,,,Summary1.As3,GBR,1999,Sector
CO2 emissions from biomass,7002.272736831183,,,,,,Summary1.As3,GBR,1999,Sector
Indirect N2O,,,10.15625329408348,,,,Summary1.As3,GBR,1999,Sector
International bunkers,38126.52255046724,0.2793972481131,1.33602532483633,,,,Summary1.As3,GBR,2000,Sector
CO2 emissions from biomass,6828.396666275431,,,,,,Summary1.As3,GBR,2000,Sector
Indirect N2O,,,9.89858371849779,,,,Summary1.As3,GBR,2000,Sector
International bunkers,37985.43023138007,0.26244370192817,1.34031660810677,,,,Summary1.As3,GBR,2001,Sector
CO2 emissions from biomass,7129.692558756659,,,,,,Summary1.As3,GBR,2001,Sector
Indirect N2O,,,9.70468885470936,,,,Summary1.As3,GBR,2001,Sector
International bunkers,36536.46407333555,0.2470682323789,1.28119309135372,,,,Summary1.As3,GBR,2002,Sector
CO2 emissions from biomass,7751.929950000856,,,,,,Summary1.As3,GBR,2002,Sector
Indirect N2O,,,9.26561194269755,,,,Summary1.As3,GBR,2002,Sector
International bunkers,36957.92151194623,0.24474405567237,1.29144387426899,,,,Summary1.As3,GBR,2003,Sector
CO2 emissions from biomass,8822.205912300842,,,,,,Summary1.As3,GBR,2003,Sector
Indirect N2O,,,9.13702605766059,,,,Summary1.As3,GBR,2003,Sector
International bunkers,40906.76217643202,0.25487320334994,1.43401084644828,,,,Summary1.As3,GBR,2004,Sector
CO2 emissions from biomass,10134.709972730972,,,,,,Summary1.As3,GBR,2004,Sector
Indirect N2O,,,8.89015316121796,,,,Summary1.As3,GBR,2004,Sector
International bunkers,43570.54914575791,0.26731245229533,1.52132899514195,,,,Summary1.As3,GBR,2005,Sector
CO2 emissions from biomass,11700.535646935175,,,,,,Summary1.As3,GBR,2005,Sector
Indirect N2O,,,8.78587418272325,,,,Summary1.As3,GBR,2005,Sector
International bunkers,45004.78588703769,0.28120982564177,1.58076646973889,,,,Summary1.As3,GBR,2006,Sector
CO2 emissions from biomass,12402.289759960931,,,,,,Summary1.As3,GBR,2006,Sector
Indirect N2O,,,8.52750901994058,,,,Summary1.As3,GBR,2006,Sector
International bunkers,44967.75830281183,0.2845445219001,1.58232469498615,,,,Summary1.As3,GBR,2007,Sector
CO2 emissions from biomass,12330.524054473575,,,,,,Summary1.As3,GBR,2007,Sector
Indirect N2O,,,8.17744751222447,,,,Summary1.As3,GBR,2007,Sector
International bunkers,47693.09202489898,0.33846118748586,1.72464026935461,,,,Summary1.As3,GBR,2008,Sector
CO2 emissions from biomass,14567.137581675242,,,,,,Summary1.As3,GBR,2008,Sector
Indirect N2O,,,7.37117577607997,,,,Summary1.As3,GBR,2008,Sector
International bunkers,45671.34275715208,0.32426258633407,1.6565934526224,,,,Summary1.As3,GBR,2009,Sector
CO2 emissions from biomass,16128.167827254476,,,,,,Summary1.As3,GBR,2009,Sector
Indirect N2O,,,6.4806641727606,,,,Summary1.As3,GBR,2009,Sector
International bunkers,43009.11212350855,0.28859077189583,1.54673157545436,,,,Summary1.As3,GBR,2010,Sector
CO2 emissions from biomass,18296.77599079265,,,,,,Summary1.As3,GBR,2010,Sector
Indirect N2O,,,6.32657524851789,,,,Summary1.As3,GBR,2010,Sector
International bunkers,45320.48344367323,0.30689145941361,1.63355066732475,,,,Summary1.As3,GBR,2011,Sector
CO2 emissions from biomass,18902.256178932617,,,,,,Summary1.As3,GBR,2011,Sector
Indirect N2O,,,5.92244306231513,,,,Summary1.As3,GBR,2011,Sector
International bunkers,43027.914831699454,0.27243968792178,1.53686948183199,,,,Summary1.As3,GBR,2012,Sector
CO2 emissions from biomass,19473.20089026617,,,,,,Summary1.As3,GBR,2012,Sector
Indirect N2O,,,6.03518116346084,,,,Summary1.As3,GBR,2012,Sector
International bunkers,43312.38012293779,0.27511467491446,1.54487406621608,,,,Summary1.As3,GBR,2013,Sector
CO2 emissions from biomass,23096.08031665552,,,,,,Summary1.As3,GBR,2013,Sector
