GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
2.  Manufacturing industries and construction                          ,3.68753376138428,0.00015999545081,0.00098948243528,,Summary1.As1,MONACCO,2003,Subsector,1. Energy,,
3.  Transport,36.67233496389287,0.01032502067081,0.00180710299706,,Summary1.As1,MONACCO,2003,Subsector,1. Energy,,
4.  Other sectors,36.16657329741556,0.00045585204147,0.00038293950915,,Summary1.As1,MONACCO,2003,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.000524592,0.024849702,,,Summary1.As1,MONACCO,2003,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.000524592,0.024849702,,,Summary1.As1,MONACCO,2003,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.04689777841596,1.43510071e-05,2.26471492e-06,,Summary1.As1,MONACCO,2003,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,2003,Subsector,1. Energy,2.96859309234351,0.03994692
A. Fuel combustion     Reference approach(2),90.69779260237904,,,,Summary1.As1,MONACCO,2004,Subsector,1. Energy,,
                                           Sectoral approach(2),91.43302724757667,0.01046654281005,0.00706924972264,,Summary1.As1,MONACCO,2004,Subsector,1. Energy,,
1.  Energy industries,17.84223881073643,6.07418009e-05,0.0039390212729,,Summary1.As1,MONACCO,2004,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.68800578920992,0.00016012706027,0.0009896337927,,Summary1.As1,MONACCO,2004,Subsector,1. Energy,,
3.  Transport,35.84780141099999,0.0098092554109,0.00177311906453,,Summary1.As1,MONACCO,2004,Subsector,1. Energy,,
4.  Other sectors,34.05498123663035,0.00043641853798,0.00036747559251,,Summary1.As1,MONACCO,2004,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.000524592,0.024849702,,,Summary1.As1,MONACCO,2004,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.000524592,0.024849702,,,Summary1.As1,MONACCO,2004,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.04595667949776,1.371722704e-05,2.23237359e-06,,Summary1.As1,MONACCO,2004,Subsector,1. Energy,,
