GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
5.  Waste,,0.0258981994805,0.00165898393862,,Summary1.As2,MONACCO,2015,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.07379020503595,,3.865932715e-05,,Summary1.As2,MONACCO,2016,Sector,,
5.  Waste,,0.02516665821297,0.00159088507732,,Summary1.As2,MONACCO,2016,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.07195919468096,,3.552490857e-05,,Summary1.As2,MONACCO,2017,Sector,,
5.  Waste,,0.02659565341753,0.00155873279637,,Summary1.As2,MONACCO,2017,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.07238279879996,,2.352486322e-05,,Summary1.As2,MONACCO,2018,Sector,,
5.  Waste,,0.02560493413481,0.00172460698997,,Summary1.As2,MONACCO,2018,Sector,,
"4.  Land use, land-use change and forestry  (4)",0.03454430692486,,4.484346428e-05,,Summary1.As2,MONACCO,2019,Sector,,
5.  Waste,,0.01579901050418,0.00168849282183,,Summary1.As2,MONACCO,2019,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.07068400280964,,1.245003572e-05,,Summary1.As2,MONACCO,2020,Sector,,
5.  Waste,,0.00306394013786,0.00163176313659,,Summary1.As2,MONACCO,2020,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.07846633132536,,2.080467518e-05,,Summary1.As2,MONACCO,2021,Sector,,
5.  Waste,,0.00049969396397,0.00130373923588,,Summary1.As2,MONACCO,2021,Sector,,
International bunkers,6.64762608458428,0.00042297074626,0.00018119311418,,Summary1.As3,MONACCO,1990,Sector,,
CO2 emissions from biomass,31.64297195436469,,,,Summary1.As3,MONACCO,1990,Sector,,
Indirect CO2,0.23487911615143,,,,Summary1.As3,MONACCO,1990,Sector,,
International bunkers,7.95935569621098,0.00054233270364,0.00021650268441,,Summary1.As3,MONACCO,1991,Sector,,
CO2 emissions from biomass,33.41751056355544,,,,Summary1.As3,MONACCO,1991,Sector,,
Indirect CO2,0.23263239218709,,,,Summary1.As3,MONACCO,1991,Sector,,
International bunkers,7.67614342114117,0.00050520367032,0.00020909343337,,Summary1.As3,MONACCO,1992,Sector,,
CO2 emissions from biomass,36.58927198175999,,,,Summary1.As3,MONACCO,1992,Sector,,
Indirect CO2,0.23295922690555,,,,Summary1.As3,MONACCO,1992,Sector,,
International bunkers,6.83863837542214,0.00043086700109,0.00018658598871,,Summary1.As3,MONACCO,1993,Sector,,
CO2 emissions from biomass,40.01084894696249,,,,Summary1.As3,MONACCO,1993,Sector,,
Indirect CO2,0.22955451181638,,,,Summary1.As3,MONACCO,1993,Sector,,
International bunkers,6.95188135166823,0.00043461366945,0.00018995051902,,Summary1.As3,MONACCO,1994,Sector,,
CO2 emissions from biomass,43.27047401765044,,,,Summary1.As3,MONACCO,1994,Sector,,
Indirect CO2,0.23655662432931,,,,Summary1.As3,MONACCO,1994,Sector,,
International bunkers,6.87932744366325,0.00042093495635,0.00018839532336,,Summary1.As3,MONACCO,1995,Sector,,
CO2 emissions from biomass,43.09460787164036,,,,Summary1.As3,MONACCO,1995,Sector,,
Indirect CO2,0.24090207657105,,,,Summary1.As3,MONACCO,1995,Sector,,
International bunkers,6.56400971275219,0.00038855128026,0.00018008283847,,Summary1.As3,MONACCO,1996,Sector,,
CO2 emissions from biomass,46.09578252458597,,,,Summary1.As3,MONACCO,1996,Sector,,
Indirect CO2,0.25053011035388,,,,Summary1.As3,MONACCO,1996,Sector,,
International bunkers,8.25278020203789,0.00053599962591,0.00022619527368,,Summary1.As3,MONACCO,1997,Sector,,
CO2 emissions from biomass,51.38111851594568,,,,Summary1.As3,MONACCO,1997,Sector,,
Indirect CO2,0.23846473163111,,,,Summary1.As3,MONACCO,1997,Sector,,
International bunkers,8.26017775129536,0.00050597706522,0.00022640057413,,Summary1.As3,MONACCO,1998,Sector,,
CO2 emissions from biomass,48.4433866620295,,,,Summary1.As3,MONACCO,1998,Sector,,
Indirect CO2,0.28161522765716,,,,Summary1.As3,MONACCO,1998,Sector,,
International bunkers,10.54922284845102,0.00070725049852,0.0002886397359,,Summary1.As3,MONACCO,1999,Sector,,
CO2 emissions from biomass,48.43994228893694,,,,Summary1.As3,MONACCO,1999,Sector,,
Indirect CO2,0.27487413943723,,,,Summary1.As3,MONACCO,1999,Sector,,
International bunkers,13.84985686931027,0.00098646099886,0.00037879485922,,Summary1.As3,MONACCO,2000,Sector,,
CO2 emissions from biomass,50.09734146311519,,,,Summary1.As3,MONACCO,2000,Sector,,
Indirect CO2,0.25789706435548,,,,Summary1.As3,MONACCO,2000,Sector,,
International bunkers,17.44354388773577,0.00135098090175,0.00047587148181,,Summary1.As3,MONACCO,2001,Sector,,
CO2 emissions from biomass,53.03778294373363,,,,Summary1.As3,MONACCO,2001,Sector,,
Indirect CO2,0.2758959178947,,,,Summary1.As3,MONACCO,2001,Sector,,
International bunkers,14.94852300352995,0.00113803996446,0.00040781370292,,Summary1.As3,MONACCO,2002,Sector,,
CO2 emissions from biomass,47.88464567131387,,,,Summary1.As3,MONACCO,2002,Sector,,
Indirect CO2,0.26676872944025,,,,Summary1.As3,MONACCO,2002,Sector,,
International bunkers,16.85573591795362,0.00133212862695,0.00045941249726,,Summary1.As3,MONACCO,2003,Sector,,
CO2 emissions from biomass,40.58028581766862,,,,Summary1.As3,MONACCO,2003,Sector,,
Indirect CO2,0.28634220271301,,,,Summary1.As3,MONACCO,2003,Sector,,
International bunkers,18.3206319638372,0.00150353752923,0.00049883756534,,Summary1.As3,MONACCO,2004,Sector,,
CO2 emissions from biomass,36.64636291971503,,,,Summary1.As3,MONACCO,2004,Sector,,
Indirect CO2,0.3021203637415,,,,Summary1.As3,MONACCO,2004,Sector,,
International bunkers,18.4332617835692,0.00150362784106,0.00050483708865,,Summary1.As3,MONACCO,2005,Sector,,
CO2 emissions from biomass,36.70946999748464,,,,Summary1.As3,MONACCO,2005,Sector,,
Indirect CO2,0.39691141778346,,,,Summary1.As3,MONACCO,2005,Sector,,
International bunkers,18.43194288380482,0.00147931358894,0.00050586990019,,Summary1.As3,MONACCO,2006,Sector,,
CO2 emissions from biomass,27.43564930013793,,,,Summary1.As3,MONACCO,2006,Sector,,
Indirect CO2,0.29926158724023,,,,Summary1.As3,MONACCO,2006,Sector,,
