GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,Unspecified mix of HFCs and PFCs(1)
D.  Non-energy products from fuels and solvent use ,1404.5367809117802,,,,,,Summary1.As1,ITALY,2000,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,8.70694208536337,266.2048182601277,0.00263394963055,Summary1.As1,ITALY,2000,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,2769.2244027193474,,,Summary1.As1,ITALY,2000,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,3.311325,,,0.01659014653565,Summary1.As1,ITALY,2000,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,2000,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),434671.0462261381,,,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy,
                                           Sectoral approach(2),440179.8235143535,93.25397566459192,18.1576668333863,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy,
1.  Energy industries,142817.6248189057,5.47080006509261,1.60714284278667,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,90272.27082649234,5.77861660020986,4.48052747236525,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy,
3.  Transport,123453.3048918126,29.27367684634304,5.45007018916381,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy,
4.  Other sectors,83268.3195724505,52.64280072647584,6.58876067318822,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy,
5.  Other,368.303404692334,0.08808142647059,0.03116565588235,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy,
B. Fugitive emissions from fuels,3070.8726671440413,298.18008914647527,0.04167087683269,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy,
1.  Solid fuels,0.39280788482954,4.323665,,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,3070.479859259212,293.85642414647526,0.04167087683269,,,,Summary1.As1,ITALY,2001,Subsector,1. Energy,
B.  Chemical industry,1348.2610393298294,0.2407149,26.55497301930756,27.8142182,909.1868141399942,,Summary1.As1,ITALY,2001,Subsector,2.  Industrial processes and product use,
C.  Metal industry,2270.4286596906863,2.5008942834396,,,244.62437479725517,0.018824,Summary1.As1,ITALY,2001,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1359.085499316004,,,,,,Summary1.As1,ITALY,2001,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,7.43233333333329,217.09600000000003,0.0021020141844,Summary1.As1,ITALY,2001,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,3670.970421061262,,,Summary1.As1,ITALY,2001,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,3.004025,,,0.0164092674877,Summary1.As1,ITALY,2001,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,2001,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),433367.2815295119,,,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy,
                                           Sectoral approach(2),447951.7559231563,73.69403139321867,17.41350898227276,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy,
1.  Energy industries,153803.994705657,5.55513569601265,1.73999059175831,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,88118.52971497712,5.71831520561268,4.52137205652839,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy,
3.  Transport,125920.24269573772,27.50503575478894,5.36864515086446,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy,
