GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent)
3.  Agriculture,0.5368,13.8639474027612,0.44890978524773,,Summary1.As2,CYPRUS,2008,Sector,
"4.  Land use, land-use change and forestry  (4)",-251.06914069270968,0.0039783901248,0.00422153026783,,Summary1.As2,CYPRUS,2008,Sector,
5.  Waste,,19.90058980153003,0.04920079954286,,Summary1.As2,CYPRUS,2008,Sector,
3.  Agriculture,1.1389,13.61828175108677,0.44392336339908,,Summary1.As2,CYPRUS,2009,Sector,
"4.  Land use, land-use change and forestry  (4)",-279.03591910507333,0.00663010714368,0.00451568542497,,Summary1.As2,CYPRUS,2009,Sector,
5.  Waste,,20.1427984688364,0.05048507931429,,Summary1.As2,CYPRUS,2009,Sector,
3.  Agriculture,0.7377,13.86833118686216,0.47313419321436,,Summary1.As2,CYPRUS,2010,Sector,
"4.  Land use, land-use change and forestry  (4)",-267.273606872986,0.02598965927424,0.00569002770745,,Summary1.As2,CYPRUS,2010,Sector,
5.  Waste,,20.30452265227779,0.05809292937143,,Summary1.As2,CYPRUS,2010,Sector,
3.  Agriculture,0.9086,13.70390493855196,0.4598458572344,,Summary1.As2,CYPRUS,2011,Sector,
"4.  Land use, land-use change and forestry  (4)",-302.86469546887747,0.02181639785472,0.00556255477227,,Summary1.As2,CYPRUS,2011,Sector,
5.  Waste,,20.44883483469127,0.06468860914286,,Summary1.As2,CYPRUS,2011,Sector,
3.  Agriculture,0.5488,13.00924840878799,0.44726090224604,,Summary1.As2,CYPRUS,2012,Sector,
"4.  Land use, land-use change and forestry  (4)",-295.84830086590046,0.02445802947072,0.0058120759199,,Summary1.As2,CYPRUS,2012,Sector,
5.  Waste,,20.78406000023993,0.0671877664,,Summary1.As2,CYPRUS,2012,Sector,
3.  Agriculture,0.7905,12.16968560834821,0.40486181462417,,Summary1.As2,CYPRUS,2013,Sector,
"4.  Land use, land-use change and forestry  (4)",-298.8315735866456,0.00854003132928,0.00493157253394,,Summary1.As2,CYPRUS,2013,Sector,
5.  Waste,,21.16746785634279,0.06460859657143,,Summary1.As2,CYPRUS,2013,Sector,
3.  Agriculture,0.407,11.87477372384463,0.39243958397104,,Summary1.As2,CYPRUS,2014,Sector,
"4.  Land use, land-use change and forestry  (4)",-300.6996052003309,0.00958897170432,0.00498966574679,,Summary1.As2,CYPRUS,2014,Sector,
5.  Waste,,21.52232815195137,0.066999312,,Summary1.As2,CYPRUS,2014,Sector,
3.  Agriculture,0.3982,11.89133576133713,0.40816604068744,,Summary1.As2,CYPRUS,2015,Sector,
"4.  Land use, land-use change and forestry  (4)",-297.43365743405406,0.0034061259456,0.00464770270542,,Summary1.As2,CYPRUS,2015,Sector,
5.  Waste,,21.65913742269169,0.06924923108571,,Summary1.As2,CYPRUS,2015,Sector,
3.  Agriculture,0.394,12.6055867506978,0.41016686451795,,Summary1.As2,CYPRUS,2016,Sector,
"4.  Land use, land-use change and forestry  (4)",-204.1716470427429,0.283573501344,0.02014639019614,,Summary1.As2,CYPRUS,2016,Sector,
5.  Waste,,21.76097829989301,0.06963082651429,,Summary1.As2,CYPRUS,2016,Sector,
3.  Agriculture,0.418,12.947761940474,0.42583515671927,,Summary1.As2,CYPRUS,2017,Sector,
"4.  Land use, land-use change and forestry  (4)",-308.5969791765929,0.00899649773568,0.0049570907631,,Summary1.As2,CYPRUS,2017,Sector,
5.  Waste,,22.01620812244812,0.07092840405714,,Summary1.As2,CYPRUS,2017,Sector,
3.  Agriculture,0.22344666666667,13.15763255498817,0.4252109557332,,Summary1.As2,CYPRUS,2018,Sector,
"4.  Land use, land-use change and forestry  (4)",-304.245100982744,0.0176253501312,0.00543449825792,,Summary1.As2,CYPRUS,2018,Sector,
5.  Waste,,22.31376955730218,0.07601646652857,,Summary1.As2,CYPRUS,2018,Sector,
3.  Agriculture,0.22586666666667,13.51280024505289,0.44102622915539,,Summary1.As2,CYPRUS,2019,Sector,
"4.  Land use, land-use change and forestry  (4)",-298.7568906436761,0.012516360192,0.00515194000657,,Summary1.As2,CYPRUS,2019,Sector,
5.  Waste,,22.67143304396839,0.08160054745714,,Summary1.As2,CYPRUS,2019,Sector,
3.  Agriculture,0.22,14.64524609663821,0.45673175864404,,Summary1.As2,CYPRUS,2020,Sector,
"4.  Land use, land-use change and forestry  (4)",-300.36998543791435,0.015100815744,0.00529497661218,,Summary1.As2,CYPRUS,2020,Sector,
5.  Waste,,22.65798027652013,0.081762384625,,Summary1.As2,CYPRUS,2020,Sector,
3.  Agriculture,0.29883333333333,15.5951527398444,0.45392039479068,,Summary1.As2,CYPRUS,2021,Sector,
"4.  Land use, land-use change and forestry  (4)",-244.7229354306652,0.195629364864,0.01478885792152,,Summary1.As2,CYPRUS,2021,Sector,
