GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent)
G.  Other product manufacture and use ,,,0.017062304,0.00030672772727,Summary1.As1,CYPRUS,1997,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),5922.5215705333385,,,,Summary1.As1,CYPRUS,1998,Subsector,1. Energy,
                                           Sectoral approach(2),5810.700685876151,0.54921366645524,0.14970981906363,,Summary1.As1,CYPRUS,1998,Subsector,1. Energy,
1.  Energy industries,2643.2136,0.11203,0.021696,,Summary1.As1,CYPRUS,1998,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,758.3734022337962,0.03215587957439,0.00607625739637,,Summary1.As1,CYPRUS,1998,Subsector,1. Energy,
3.  Transport,1709.99098357454,0.25160150649482,0.1166531885478,,Summary1.As1,CYPRUS,1998,Subsector,1. Energy,
4.  Other sectors,678.9278409128848,0.15070092827335,0.0051208519927,,Summary1.As1,CYPRUS,1998,Subsector,1. Energy,
5.  Other,20.19485915492958,0.00272535211268,0.00016352112676,,Summary1.As1,CYPRUS,1998,Subsector,1. Energy,
B. Fugitive emissions from fuels,,0.02755560747664,,,Summary1.As1,CYPRUS,1998,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,,0.02755560747664,,,Summary1.As1,CYPRUS,1998,Subsector,1. Energy,
A.  Mineral industry,776.8446,,,,Summary1.As1,CYPRUS,1998,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,4.106722495,,,,Summary1.As1,CYPRUS,1998,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,1998,Subsector,2.  Industrial processes and product use,47.38136187697022
G.  Other product manufacture and use ,,,0.017256883,0.000333945,Summary1.As1,CYPRUS,1998,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),5933.328749333339,,,,Summary1.As1,CYPRUS,1999,Subsector,1. Energy,
                                           Sectoral approach(2),6071.496309838665,0.55147432882986,0.16294651977157,,Summary1.As1,CYPRUS,1999,Subsector,1. Energy,
1.  Energy industries,2826.9354,0.11836,0.022614,,Summary1.As1,CYPRUS,1999,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,783.4415285780126,0.03376273960373,0.0063463797726,,Summary1.As1,CYPRUS,1999,Subsector,1. Energy,
3.  Transport,1754.2787434646166,0.24344586843844,0.12855591638134,,Summary1.As1,CYPRUS,1999,Subsector,1. Energy,
4.  Other sectors,686.0848103312468,0.15310466444966,0.00526216023735,,Summary1.As1,CYPRUS,1999,Subsector,1. Energy,
5.  Other,20.75582746478873,0.00280105633803,0.00016806338028,,Summary1.As1,CYPRUS,1999,Subsector,1. Energy,
B. Fugitive emissions from fuels,,0.03005140186916,,,Summary1.As1,CYPRUS,1999,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,,0.03005140186916,,,Summary1.As1,CYPRUS,1999,Subsector,1. Energy,
A.  Mineral industry,782.1971,,,,Summary1.As1,CYPRUS,1999,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,4.135812564,,,,Summary1.As1,CYPRUS,1999,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,1999,Subsector,2.  Industrial processes and product use,54.29322114734489
G.  Other product manufacture and use ,,,0.017448935,0.00036116227273,Summary1.As1,CYPRUS,1999,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),6414.660374466673,,,,Summary1.As1,CYPRUS,2000,Subsector,1. Energy,
                                           Sectoral approach(2),6296.08184369704,0.53946396260163,0.17210962488489,,Summary1.As1,CYPRUS,2000,Subsector,1. Energy,
1.  Energy industries,2954.6042,0.12232,0.023472,,Summary1.As1,CYPRUS,2000,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,799.5104866959063,0.03885027089818,0.00703338455,,Summary1.As1,CYPRUS,2000,Subsector,1. Energy,
3.  Transport,1795.1454380053074,0.23234544613747,0.13601680152685,,Summary1.As1,CYPRUS,2000,Subsector,1. Energy,
4.  Other sectors,725.3927295592072,0.14305634415753,0.00541392472353,,Summary1.As1,CYPRUS,2000,Subsector,1. Energy,
5.  Other,21.42898943661972,0.00289190140845,0.00017351408451,,Summary1.As1,CYPRUS,2000,Subsector,1. Energy,
B. Fugitive emissions from fuels,,0.02987313084112,,,Summary1.As1,CYPRUS,2000,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,,0.02987313084112,,,Summary1.As1,CYPRUS,2000,Subsector,1. Energy,
A.  Mineral industry,802.7478,,,,Summary1.As1,CYPRUS,2000,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,4.095379565,,,,Summary1.As1,CYPRUS,2000,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2000,Subsector,2.  Industrial processes and product use,62.43600703461301
G.  Other product manufacture and use ,,,0.017625825,0.00038837954545,Summary1.As1,CYPRUS,2000,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),6356.082471126672,,,,Summary1.As1,CYPRUS,2001,Subsector,1. Energy,
                                           Sectoral approach(2),6187.5190937900725,0.53500554677177,0.18405900715341,,Summary1.As1,CYPRUS,2001,Subsector,1. Energy,
1.  Energy industries,2837.2828,0.11753,0.023102,,Summary1.As1,CYPRUS,2001,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,745.4056532852062,0.03880357639139,0.00687744564865,,Summary1.As1,CYPRUS,2001,Subsector,1. Energy,
3.  Transport,1854.6633882696035,0.23166024124633,0.14845631368264,,Summary1.As1,CYPRUS,2001,Subsector,1. Energy,
4.  Other sectors,728.5138754747,0.14408954603546,0.0054479168362,,Summary1.As1,CYPRUS,2001,Subsector,1. Energy,
5.  Other,21.65337676056338,0.00292218309859,0.00017533098592,,Summary1.As1,CYPRUS,2001,Subsector,1. Energy,
B. Fugitive emissions from fuels,,0.02944018691589,,,Summary1.As1,CYPRUS,2001,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,,0.02944018691589,,,Summary1.As1,CYPRUS,2001,Subsector,1. Energy,
A.  Mineral industry,786.6795,,,,Summary1.As1,CYPRUS,2001,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,4.135206455,,,,Summary1.As1,CYPRUS,2001,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2001,Subsector,2.  Industrial processes and product use,70.908083156346
G.  Other product manufacture and use ,,,0.017827985,0.0004170084,Summary1.As1,CYPRUS,2001,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),6438.427414100006,,,,Summary1.As1,CYPRUS,2002,Subsector,1. Energy,
                                           Sectoral approach(2),6345.2857746488135,0.54099277069589,0.19173719519519,,Summary1.As1,CYPRUS,2002,Subsector,1. Energy,
1.  Energy industries,2998.4718,0.12302,0.02443,,Summary1.As1,CYPRUS,2002,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,756.676056726962,0.03933120812225,0.00697962162445,,Summary1.As1,CYPRUS,2002,Subsector,1. Energy,
3.  Transport,1836.8082532739647,0.22126366586002,0.15465593976793,,Summary1.As1,CYPRUS,2002,Subsector,1. Energy,
4.  Other sectors,732.5738371830985,0.15457684037559,0.00550357042253,,Summary1.As1,CYPRUS,2002,Subsector,1. Energy,
5.  Other,20.75582746478873,0.00280105633803,0.00016806338028,,Summary1.As1,CYPRUS,2002,Subsector,1. Energy,
B. Fugitive emissions from fuels,,0.02765747663551,,,Summary1.As1,CYPRUS,2002,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,,0.02765747663551,,,Summary1.As1,CYPRUS,2002,Subsector,1. Energy,
A.  Mineral industry,818.9993000000001,,,,Summary1.As1,CYPRUS,2002,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,4.721363826,,,,Summary1.As1,CYPRUS,2002,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2002,Subsector,2.  Industrial processes and product use,80.27769183066522
G.  Other product manufacture and use ,,,0.018035199,0.0004448568,Summary1.As1,CYPRUS,2002,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),7089.091460366673,,,,Summary1.As1,CYPRUS,2003,Subsector,1. Energy,
                                           Sectoral approach(2),6732.712063623568,0.56247991060334,0.20341675016294,,Summary1.As1,CYPRUS,2003,Subsector,1. Energy,
1.  Energy industries,3224.9118,0.13124,0.025326,,Summary1.As1,CYPRUS,2003,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,783.5139215918579,0.04435343667008,0.00771166585253,,Summary1.As1,CYPRUS,2003,Subsector,1. Energy,
3.  Transport,1945.6361128037493,0.22880029422538,0.16460128982424,,Summary1.As1,CYPRUS,2003,Subsector,1. Energy,
4.  Other sectors,757.3334334533124,0.1552094191445,0.00560518885237,,Summary1.As1,CYPRUS,2003,Subsector,1. Energy,
5.  Other,21.31679577464788,0.00287676056338,0.0001726056338,,Summary1.As1,CYPRUS,2003,Subsector,1. Energy,
B. Fugitive emissions from fuels,,0.02472873831776,,,Summary1.As1,CYPRUS,2003,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,,0.02472873831776,,,Summary1.As1,CYPRUS,2003,Subsector,1. Energy,
A.  Mineral industry,821.4659,,,,Summary1.As1,CYPRUS,2003,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,4.739091919,,,,Summary1.As1,CYPRUS,2003,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2003,Subsector,2.  Industrial processes and product use,91.99788786810036
G.  Other product manufacture and use ,,,0.018267683,0.0004727052,Summary1.As1,CYPRUS,2003,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),6580.587217739339,,,,Summary1.As1,CYPRUS,2004,Subsector,1. Energy,
                                           Sectoral approach(2),6896.937982115298,0.56432355087647,0.11044147277313,,Summary1.As1,CYPRUS,2004,Subsector,1. Energy,
1.  Energy industries,3283.4408,0.13397,0.026776,,Summary1.As1,CYPRUS,2004,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,863.2399064335398,0.04691852707715,0.00823178467468,,Summary1.As1,CYPRUS,2004,Subsector,1. Energy,
3.  Transport,2048.6711429691863,0.22803480835852,0.07023673332016,,Summary1.As1,CYPRUS,2004,Subsector,1. Energy,
4.  Other sectors,681.1991165153886,0.14924113093376,0.00502375970787,,Summary1.As1,CYPRUS,2004,Subsector,1. Energy,
5.  Other,20.3870161971831,0.00615908450704,0.00017319507042,,Summary1.As1,CYPRUS,2004,Subsector,1. Energy,
B. Fugitive emissions from fuels,,0.00710537383178,,,Summary1.As1,CYPRUS,2004,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,,0.00710537383178,,,Summary1.As1,CYPRUS,2004,Subsector,1. Energy,
A.  Mineral industry,884.947,,,,Summary1.As1,CYPRUS,2004,Subsector,1. Energy,
