GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
2.  Oil and natural gas and other emissions from energy production,136.343811495902,0.059772100047,,,,,Summary1.As1,ICELAND,2003,Subsector,1. Energy
A.  Mineral industry,32.9758096998,,,,,,Summary1.As1,ICELAND,2003,Subsector,1. Energy
C.  Metal industry,809.3383407324,0.11907,,,63.37050173799,,Summary1.As1,ICELAND,2003,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,6.84770390623147,,,,,,Summary1.As1,ICELAND,2003,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,45.1354746608285,0.00614258793,,Summary1.As1,ICELAND,2003,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.0225746835,0.001713290427,0.014487701174,,,5.7525e-05,Summary1.As1,ICELAND,2003,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,2003,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1885.4472008108933,,,,,,Summary1.As1,ICELAND,2004,Subsector,1. Energy
                                           Sectoral approach(2),2101.283540273297,0.23518087622177,0.14680025139473,,,,Summary1.As1,ICELAND,2004,Subsector,1. Energy
1.  Energy industries,3.1565443785,0.0014924764,0.0003758016,,,,Summary1.As1,ICELAND,2004,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,333.0554093529,0.0175931391,0.0389367462,,,,Summary1.As1,ICELAND,2004,Subsector,1. Energy
