GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
2.  Industrial processes and product use,8611.779404648354,0.02468104635,1.84981936591982,3494.7026416578724,107.64445872488632,0.000315,Summary1.As1,GREECE,2008,Sector
1. Energy,97642.72790040336,72.83601142488784,2.90024200009216,,,,Summary1.As1,GREECE,2009,Sector
2.  Industrial processes and product use,6639.747851709128,0.01999347878,1.67315691723651,3805.7252991966566,82.832355692287,0.00022,Summary1.As1,GREECE,2009,Sector
1. Energy,90718.5122649871,66.26113035959887,2.59386156082093,,,,Summary1.As1,GREECE,2010,Sector
2.  Industrial processes and product use,6598.934688104338,0.01824137422,1.86951769762815,4215.529783398233,117.3515834341606,0.000257,Summary1.As1,GREECE,2010,Sector
1. Energy,89550.84949634041,70.7144413640612,2.37841040363379,,,,Summary1.As1,GREECE,2011,Sector
2.  Industrial processes and product use,4922.924577760242,0.01934321368,2.01874726757304,4480.253136590524,100.07701136142984,0.000225,Summary1.As1,GREECE,2011,Sector
1. Energy,85903.14738421222,75.63712029697585,1.70967228116548,,,,Summary1.As1,GREECE,2012,Sector
2.  Industrial processes and product use,5460.968859464639,0.0124710157,1.47531465863219,4864.482847391902,133.83033564877482,0.00022142857143,Summary1.As1,GREECE,2012,Sector
1. Energy,75823.30448564333,65.39659806045918,1.57011494778707,,,,Summary1.As1,GREECE,2013,Sector
2.  Industrial processes and product use,5860.120265723434,0.0103,0.55155463721891,5403.5380194909,156.12949274420006,0.00022592857143,Summary1.As1,GREECE,2013,Sector
1. Energy,72452.37603989872,61.76105723072539,1.64770051972069,,,,Summary1.As1,GREECE,2014,Sector
2.  Industrial processes and product use,6155.95523682144,0.01022,0.56638382222889,5505.315957181095,121.654206489709,0.00021585714286,Summary1.As1,GREECE,2014,Sector
1. Energy,69217.26114977359,58.5801221583286,1.6925380808197,,,,Summary1.As1,GREECE,2015,Sector
2.  Industrial processes and product use,5681.475176882874,0.0090884,0.54213364969743,5641.706189323342,108.04975333604948,0.0002219483712,Summary1.As1,GREECE,2015,Sector
1. Energy,65351.85765929722,45.49585509278821,1.59010773779117,,,,Summary1.As1,GREECE,2016,Sector
2.  Industrial processes and product use,5978.123845452719,0.01158,0.52213231721539,5844.571540148633,122.04713988315832,0.0002281583539,Summary1.As1,GREECE,2016,Sector
1. Energy,68488.98457006975,51.09616721928209,1.64210557728663,,,,Summary1.As1,GREECE,2017,Sector
2.  Industrial processes and product use,6316.05711869901,0.0157015784,0.5365796661891,5806.448108830668,113.58331259520278,0.000219785465,Summary1.As1,GREECE,2017,Sector
1. Energy,65580.80686060135,49.13066477541167,1.65481166675126,,,,Summary1.As1,GREECE,2018,Sector
2.  Industrial processes and product use,6163.401171982997,0.01468877307,0.54353887304374,5559.419385205423,122.0675463559094,0.000216784665,Summary1.As1,GREECE,2018,Sector
1. Energy,59783.38072163083,41.01000660207112,1.48607123162737,,,,Summary1.As1,GREECE,2019,Sector
2.  Industrial processes and product use,5937.938471274856,0.01349870454,0.53905681237564,5137.079568903206,123.62996262829203,0.00021581444102,Summary1.As1,GREECE,2019,Sector
1. Energy,50516.56881287295,28.67610520629728,1.29910554416321,,,,Summary1.As1,GREECE,2020,Sector
