GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
5.  Other,1430.08565176,0.168413419,0.034124179,,,,Summary1.As1,FINLAND,1998,Subsector,1. Energy
B. Fugitive emissions from fuels,63.935516,3.347210568,0.00230266,,,,Summary1.As1,FINLAND,1998,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,63.935516,3.347210568,0.00230266,,,,Summary1.As1,FINLAND,1998,Subsector,1. Energy
A.  Mineral industry,955.9762244782946,,,,,,Summary1.As1,FINLAND,1998,Subsector,1. Energy
C.  Metal industry,2419.6581879084,9.12e-05,,,,,Summary1.As1,FINLAND,1998,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,146.28752679016,0.00755,0.003775,,,,Summary1.As1,FINLAND,1998,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,431.82333406543256,1.2862581888,,Summary1.As1,FINLAND,1998,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.2168865019641,,,0.0006410600752,Summary1.As1,FINLAND,1998,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,0.03106699435646,0.58621251477741,0.001053,Summary1.As1,FINLAND,1998,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),53666.27492782242,,,,,,Summary1.As1,FINLAND,1999,Subsector,1. Energy
                                           Sectoral approach(2),54492.426843894056,11.588260859,2.046114008,,,,Summary1.As1,FINLAND,1999,Subsector,1. Energy
1.  Energy industries,23378.07780925,0.763747079,0.68666502,,,,Summary1.As1,FINLAND,1999,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,11704.882937375054,0.717923455,0.607988625,,,,Summary1.As1,FINLAND,1999,Subsector,1. Energy
3.  Transport,11988.70462,2.664329843,0.457363248,,,,Summary1.As1,FINLAND,1999,Subsector,1. Energy
4.  Other sectors,6115.635813869,7.289261762,0.261974285,,,,Summary1.As1,FINLAND,1999,Subsector,1. Energy
5.  Other,1305.1256634,0.15299872,0.03212283,,,,Summary1.As1,FINLAND,1999,Subsector,1. Energy
B. Fugitive emissions from fuels,55.1502,2.666897314,0.00195328,,,,Summary1.As1,FINLAND,1999,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,55.1502,2.666897314,0.00195328,,,,Summary1.As1,FINLAND,1999,Subsector,1. Energy
A.  Mineral industry,1030.011957712423,,,,,,Summary1.As1,FINLAND,1999,Subsector,1. Energy
C.  Metal industry,2448.4808283883,9.00379e-05,,,,,Summary1.As1,FINLAND,1999,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,140.31519947132,0.00727,0.003633,,,,Summary1.As1,FINLAND,1999,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,523.8354080373772,1.3418393118,,Summary1.As1,FINLAND,1999,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.21692464974922,,,0.00064298879053,Summary1.As1,FINLAND,1999,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,2.44281098785993,3.21115033199403,0.000706,Summary1.As1,FINLAND,1999,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),50982.4296866457,,,,,,Summary1.As1,FINLAND,2000,Subsector,1. Energy
                                           Sectoral approach(2),52726.15755977386,10.762591587,1.98929418,,,,Summary1.As1,FINLAND,2000,Subsector,1. Energy
1.  Energy industries,21924.673912868,0.737658362,0.665371552,,,,Summary1.As1,FINLAND,2000,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,11732.68767438486,0.738061469,0.613777747,,,,Summary1.As1,FINLAND,2000,Subsector,1. Energy
3.  Transport,11890.46104,2.370441522,0.431792361,,,,Summary1.As1,FINLAND,2000,Subsector,1. Energy
4.  Other sectors,5774.789704721,6.760316454,0.24471402,,,,Summary1.As1,FINLAND,2000,Subsector,1. Energy
5.  Other,1403.5452278,0.15611378,0.0336385,,,,Summary1.As1,FINLAND,2000,Subsector,1. Energy
B. Fugitive emissions from fuels,58.4792,2.501654229,0.00210326,,,,Summary1.As1,FINLAND,2000,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,58.4792,2.501654229,0.00210326,,,,Summary1.As1,FINLAND,2000,Subsector,1. Energy
A.  Mineral industry,1080.4471421192209,,,,,,Summary1.As1,FINLAND,2000,Subsector,1. Energy
C.  Metal industry,2389.2241775967,9.1e-05,,,,,Summary1.As1,FINLAND,2000,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,136.643947460568,0.00703,0.003514,,,,Summary1.As1,FINLAND,2000,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,692.9428868959712,2.38831946035141,,Summary1.As1,FINLAND,2000,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.18381026575946,,,0.00032596957816,Summary1.As1,FINLAND,2000,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,0.25257138953892,0.77526605079313,0.000817,Summary1.As1,FINLAND,2000,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),55587.60176438805,,,,,,Summary1.As1,FINLAND,2001,Subsector,1. Energy
                                           Sectoral approach(2),58097.50732608637,11.603664017,2.13132561,,,,Summary1.As1,FINLAND,2001,Subsector,1. Energy
