Main_Category,Sub_Category,Detail_Category,Year,Sheet,GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Gas,Emissions_kt
Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,1998,Summary1As1_Combined,2.  Oil and natural gas and other emissions from energy production,Net CO2 emissions/removals (kt),7209.680738019263
2.  Industrial processes and product use,Industrial processes and product use,,1998,Summary1As1_Combined,2.  Industrial processes and product use,Net CO2 emissions/removals (kt),40664.82431251041
Total national emissions and removals,Industrial processes and product use,A.  Mineral industry,1998,Summary1As1_Combined,A.  Mineral industry,Net CO2 emissions/removals (kt),9849.090506251823
Total national emissions and removals,Industrial processes and product use,B.  Chemical industry,1998,Summary1As1_Combined,B.  Chemical industry,Net CO2 emissions/removals (kt),7024.247761547371
Total national emissions and removals,Industrial processes and product use,C.  Metal industry,1998,Summary1As1_Combined,C.  Metal industry,Net CO2 emissions/removals (kt),22768.922024159056
Total national emissions and removals,Industrial processes and product use,D.  Non-energy products from fuels and solvent use ,1998,Summary1As1_Combined,D.  Non-energy products from fuels and solvent use ,Net CO2 emissions/removals (kt),1022.56402055216
Total national emissions and removals,Total national emissions and removals,,1999,Summary1As1_Combined,Total national emissions and removals,Net CO2 emissions/removals (kt),562016.9034296797
1. Energy,Energy,,1999,Summary1As1_Combined,1. Energy,Net CO2 emissions/removals (kt),519744.62527999846
Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),1999,Summary1As1_Combined,A. Fuel combustion     Reference approach(2),Net CO2 emissions/removals (kt),515422.2882867025
Total national emissions and removals,Energy,                                           Sectoral approach(2),1999,Summary1As1_Combined,                                           Sectoral approach(2),Net CO2 emissions/removals (kt),513572.28588555823
Total national emissions and removals,Energy,1.  Energy industries,1999,Summary1As1_Combined,1.  Energy industries,Net CO2 emissions/removals (kt),188957.708937961
Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,1999,Summary1As1_Combined,2.  Manufacturing industries and construction                          ,Net CO2 emissions/removals (kt),72135.22991343876
Total national emissions and removals,Energy,3.  Transport,1999,Summary1As1_Combined,3.  Transport,Net CO2 emissions/removals (kt),129465.27910168156
