GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector,PFCs(1),SF6 (kt)
D.  Non-energy products from fuels and solvent use ,0.15793753270886,,,,Summary1.As1,LIECHTENSTEIN,1998,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,2.23876920339353,Summary1.As1,LIECHTENSTEIN,1998,Subsector,1. Energy,0.00296566543248,
A. Fuel combustion     Reference approach(2),226.4473148780144,,,,Summary1.As1,LIECHTENSTEIN,1999,Subsector,1. Energy,,
                                           Sectoral approach(2),226.34642903152957,0.02699402622737,0.00634489648468,,Summary1.As1,LIECHTENSTEIN,1999,Subsector,1. Energy,,
1.  Energy industries,2.82744,0.0013889689344,0.0002414830464,,Summary1.As1,LIECHTENSTEIN,1999,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,39.70142505533733,0.0007247668145,0.00030338337362,,Summary1.As1,LIECHTENSTEIN,1999,Subsector,1. Energy,,
3.  Transport,89.02726842208544,0.01356538303783,0.00484620526174,,Summary1.As1,LIECHTENSTEIN,1999,Subsector,1. Energy,,
4.  Other sectors,94.79029555410678,0.01131490744064,0.00095382480292,,Summary1.As1,LIECHTENSTEIN,1999,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00024978016244,0.03177331758656,,,Summary1.As1,LIECHTENSTEIN,1999,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00024978016244,0.03177331758656,,,Summary1.As1,LIECHTENSTEIN,1999,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.16570413315543,,,,Summary1.As1,LIECHTENSTEIN,1999,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,2.804153964918,Summary1.As1,LIECHTENSTEIN,1999,Subsector,1. Energy,0.00537605960401,
A. Fuel combustion     Reference approach(2),216.7391703937752,,,,Summary1.As1,LIECHTENSTEIN,2000,Subsector,1. Energy,,
                                           Sectoral approach(2),216.6339715025718,0.02776281030264,0.00647051960112,,Summary1.As1,LIECHTENSTEIN,2000,Subsector,1. Energy,,
1.  Energy industries,2.665872,0.00131818157568,0.00024341822208,,Summary1.As1,LIECHTENSTEIN,2000,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,36.30993391794297,0.00066823869043,0.00027958682804,,Summary1.As1,LIECHTENSTEIN,2000,Subsector,1. Energy,,
3.  Transport,89.843076385019,0.01375471282085,0.00490515389221,,Summary1.As1,LIECHTENSTEIN,2000,Subsector,1. Energy,,
4.  Other sectors,87.81508919960982,0.01202167721568,0.00104236065879,,Summary1.As1,LIECHTENSTEIN,2000,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00026034902863,0.03311773156426,,,Summary1.As1,LIECHTENSTEIN,2000,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00026034902863,0.03311773156426,,,Summary1.As1,LIECHTENSTEIN,2000,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.16934063099844,,,,Summary1.As1,LIECHTENSTEIN,2000,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,3.52292392372673,Summary1.As1,LIECHTENSTEIN,2000,Subsector,1. Energy,0.00908399274015,
A. Fuel combustion     Reference approach(2),214.57210639407725,,,,Summary1.As1,LIECHTENSTEIN,2001,Subsector,1. Energy,,
                                           Sectoral approach(2),214.4606886675829,0.02677767312571,0.00595433015932,,Summary1.As1,LIECHTENSTEIN,2001,Subsector,1. Energy,,
1.  Energy industries,2.82744,0.00138522166272,0.00023461304832,,Summary1.As1,LIECHTENSTEIN,2001,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,36.29826539013163,0.00065456869231,0.0002570256067,,Summary1.As1,LIECHTENSTEIN,2001,Subsector,1. Energy,,
3.  Transport,86.51489115865066,0.01396859541652,0.00454755532352,,Summary1.As1,LIECHTENSTEIN,2001,Subsector,1. Energy,,
4.  Other sectors,88.82009211880063,0.01076928735416,0.00091513618078,,Summary1.As1,LIECHTENSTEIN,2001,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00027864831851,0.03544549508002,,,Summary1.As1,LIECHTENSTEIN,2001,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00027864831851,0.03544549508002,,,Summary1.As1,LIECHTENSTEIN,2001,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.1536178569863,,,,Summary1.As1,LIECHTENSTEIN,2001,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,4.25515673909395,Summary1.As1,LIECHTENSTEIN,2001,Subsector,1. Energy,0.01184597613113,
A. Fuel combustion     Reference approach(2),219.92488202118855,,,,Summary1.As1,LIECHTENSTEIN,2002,Subsector,1. Energy,,
                                           Sectoral approach(2),219.80842753287837,0.02737786269925,0.0054792399278,,Summary1.As1,LIECHTENSTEIN,2002,Subsector,1. Energy,,
1.  Energy industries,2.42352,0.00120001609728,0.00022434951168,,Summary1.As1,LIECHTENSTEIN,2002,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,37.76438273691496,0.00067359241909,0.00027990493591,,Summary1.As1,LIECHTENSTEIN,2002,Subsector,1. Energy,,
3.  Transport,82.62094715035784,0.01381810882082,0.00398705254457,,Summary1.As1,LIECHTENSTEIN,2002,Subsector,1. Energy,,
4.  Other sectors,96.99957764560554,0.01168614536206,0.00098793293564,,Summary1.As1,LIECHTENSTEIN,2002,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00029410346552,0.03741146903759,,,Summary1.As1,LIECHTENSTEIN,2002,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00029410346552,0.03741146903759,,,Summary1.As1,LIECHTENSTEIN,2002,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.14978466605277,,,,Summary1.As1,LIECHTENSTEIN,2002,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,4.85649623923306,Summary1.As1,LIECHTENSTEIN,2002,Subsector,1. Energy,0.01474489483383,
A. Fuel combustion     Reference approach(2),229.22928625696235,,,,Summary1.As1,LIECHTENSTEIN,2003,Subsector,1. Energy,,
                                           Sectoral approach(2),229.0978363906706,0.02758842937062,0.00523616025616,,Summary1.As1,LIECHTENSTEIN,2003,Subsector,1. Energy,,
1.  Energy industries,2.72646,0.00133939236096,0.00023291266176,,Summary1.As1,LIECHTENSTEIN,2003,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,41.05910883898473,0.00073748812166,0.00032069080787,,Summary1.As1,LIECHTENSTEIN,2003,Subsector,1. Energy,,
3.  Transport,82.51210380309983,0.01260549438719,0.00357127884244,,Summary1.As1,LIECHTENSTEIN,2003,Subsector,1. Energy,,
4.  Other sectors,102.80016374858606,0.01290605450081,0.00111127794409,,Summary1.As1,LIECHTENSTEIN,2003,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00031117271115,0.03958276461598,,,Summary1.As1,LIECHTENSTEIN,2003,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00031117271115,0.03958276461598,,,Summary1.As1,LIECHTENSTEIN,2003,Subsector,1. Energy,,
