GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,PFCs(1),SF6 (kt)
CO2 emissions from biomass,7.37973378432,,,,Summary1.As3,LIECHTENSTEIN,1994,Sector,,
International bunkers,0.42714694656,2.9176704e-06,1.16706816e-05,,Summary1.As3,LIECHTENSTEIN,1995,Sector,,
CO2 emissions from biomass,5.76301534848,,,,Summary1.As3,LIECHTENSTEIN,1995,Sector,,
International bunkers,0.4391783328,2.999852e-06,1.1999408e-05,,Summary1.As3,LIECHTENSTEIN,1996,Sector,,
CO2 emissions from biomass,5.58416449152,,,,Summary1.As3,LIECHTENSTEIN,1996,Sector,,
International bunkers,0.45120971904,3.0820336e-06,1.23281344e-05,,Summary1.As3,LIECHTENSTEIN,1997,Sector,,
CO2 emissions from biomass,6.44600307415018,,,,Summary1.As3,LIECHTENSTEIN,1997,Sector,,
International bunkers,0.46324110528,3.1642152e-06,1.26568608e-05,,Summary1.As3,LIECHTENSTEIN,1998,Sector,,
CO2 emissions from biomass,7.14214988578732,,,,Summary1.As3,LIECHTENSTEIN,1998,Sector,,
International bunkers,0.47509935035733,3.2463968e-06,1.29855872e-05,,Summary1.As3,LIECHTENSTEIN,1999,Sector,,
CO2 emissions from biomass,7.7949743015047,,,,Summary1.As3,LIECHTENSTEIN,1999,Sector,,
International bunkers,0.48694882939733,3.3285784e-06,1.33143136e-05,,Summary1.As3,LIECHTENSTEIN,2000,Sector,,
CO2 emissions from biomass,12.04855993611336,,,,Summary1.As3,LIECHTENSTEIN,2000,Sector,,
International bunkers,0.4987895424,3.41076e-06,1.364304e-05,,Summary1.As3,LIECHTENSTEIN,2001,Sector,,
CO2 emissions from biomass,8.14199441177782,,,,Summary1.As3,LIECHTENSTEIN,2001,Sector,,
International bunkers,0.4473136576,3.05988e-06,1.223952e-05,,Summary1.As3,LIECHTENSTEIN,2002,Sector,,
CO2 emissions from biomass,8.33006505976964,,,,Summary1.As3,LIECHTENSTEIN,2002,Sector,,
International bunkers,0.49822213504,3.4093668e-06,1.36374672e-05,,Summary1.As3,LIECHTENSTEIN,2003,Sector,,
CO2 emissions from biomass,10.44399673149863,,,,Summary1.As3,LIECHTENSTEIN,2003,Sector,,
International bunkers,0.335933923776,2.2996572e-06,9.1986288e-06,,Summary1.As3,LIECHTENSTEIN,2004,Sector,,
CO2 emissions from biomass,11.32596674436153,,,,Summary1.As3,LIECHTENSTEIN,2004,Sector,,
International bunkers,0.483534479872,3.3112752e-06,1.32451008e-05,,Summary1.As3,LIECHTENSTEIN,2005,Sector,,
CO2 emissions from biomass,12.25291437178503,,,,Summary1.As3,LIECHTENSTEIN,2005,Sector,,
International bunkers,0.82545642816,5.654844e-06,2.2619376e-05,,Summary1.As3,LIECHTENSTEIN,2006,Sector,,
CO2 emissions from biomass,13.888925293984,,,,Summary1.As3,LIECHTENSTEIN,2006,Sector,,
International bunkers,0.817191164928,5.6002684e-06,2.24010736e-05,,Summary1.As3,LIECHTENSTEIN,2007,Sector,,
CO2 emissions from biomass,17.99795904587687,,,,Summary1.As3,LIECHTENSTEIN,2007,Sector,,
International bunkers,0.80080035658667,5.4899476e-06,2.19597904e-05,,Summary1.As3,LIECHTENSTEIN,2008,Sector,,
CO2 emissions from biomass,18.19419445385587,,,,Summary1.As3,LIECHTENSTEIN,2008,Sector,,
International bunkers,0.96869834005333,6.643414e-06,2.6573656e-05,,Summary1.As3,LIECHTENSTEIN,2009,Sector,,
CO2 emissions from biomass,21.51938672531532,,,,Summary1.As3,LIECHTENSTEIN,2009,Sector,,
International bunkers,0.843552008768,5.7872668e-06,2.31490672e-05,,Summary1.As3,LIECHTENSTEIN,2010,Sector,,
CO2 emissions from biomass,22.8347850240828,,,,Summary1.As3,LIECHTENSTEIN,2010,Sector,,
International bunkers,0.90954367624533,6.2422928e-06,2.49691712e-05,,Summary1.As3,LIECHTENSTEIN,2011,Sector,,
CO2 emissions from biomass,24.68733009131223,,,,Summary1.As3,LIECHTENSTEIN,2011,Sector,,
International bunkers,1.112731224448,7.6395864e-06,3.05583456e-05,,Summary1.As3,LIECHTENSTEIN,2012,Sector,,
CO2 emissions from biomass,25.19344317183509,,,,Summary1.As3,LIECHTENSTEIN,2012,Sector,,
International bunkers,1.05100300032,7.2184272e-06,2.88737088e-05,,Summary1.As3,LIECHTENSTEIN,2013,Sector,,
CO2 emissions from biomass,22.01414685892385,,,,Summary1.As3,LIECHTENSTEIN,2013,Sector,,
International bunkers,1.17914404608,8.0985168e-06,3.23940672e-05,,Summary1.As3,LIECHTENSTEIN,2014,Sector,,
CO2 emissions from biomass,22.51062054951327,,,,Summary1.As3,LIECHTENSTEIN,2014,Sector,,
International bunkers,1.19078412544,8.1784624e-06,3.27138496e-05,,Summary1.As3,LIECHTENSTEIN,2015,Sector,,
CO2 emissions from biomass,25.33935086112967,,,,Summary1.As3,LIECHTENSTEIN,2015,Sector,,
International bunkers,0.91627308864,6.2930844e-06,2.51723376e-05,,Summary1.As3,LIECHTENSTEIN,2016,Sector,,
