GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
5.  Other,23.00669075001824,0.00267599850572,0.00018605242219,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
B. Fugitive emissions from fuels,0.03787707276907,1.13017375793901,,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.03787707276907,1.13017375793901,,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
A.  Mineral industry,501.0080661856898,,,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,18.44957004917868,,,,,Summary1.As1,LUXEMBOURG,1997,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,18.31389293932369,,Summary1.As1,LUXEMBOURG,1997,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.02411488527427,,7.443517534e-05,Summary1.As1,LUXEMBOURG,1997,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),7092.050426893345,,,,,Summary1.As1,LUXEMBOURG,1998,Subsector,1. Energy
                                           Sectoral approach(2),7002.185102456399,0.782008878081,0.16618330353558,,,Summary1.As1,LUXEMBOURG,1998,Subsector,1. Energy
1.  Energy industries,145.72911095704393,0.04099012003771,0.00541421934086,,,Summary1.As1,LUXEMBOURG,1998,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1301.9162865801463,0.05466922604244,0.0385930642207,,,Summary1.As1,LUXEMBOURG,1998,Subsector,1. Energy
3.  Transport,3929.850290671836,0.25753649880853,0.10086153501263,,,Summary1.As1,LUXEMBOURG,1998,Subsector,1. Energy
4.  Other sectors,1590.6301847399666,0.42473943721478,0.02104890869702,,,Summary1.As1,LUXEMBOURG,1998,Subsector,1. Energy
5.  Other,34.05922950740628,0.00407359597754,0.00026557626437,,,Summary1.As1,LUXEMBOURG,1998,Subsector,1. Energy
