GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level
"4.  Land use, land-use change and forestry  (4)",-385.94893661845146,,0.06699825284944,,,Summary1.As2,LUXEMBOURG,2012,Sector
5.  Waste,,3.39907600604162,0.03833311372642,,,Summary1.As2,LUXEMBOURG,2012,Sector
3.  Agriculture,10.26088196379132,17.25694412583931,0.58628939783264,,,Summary1.As2,LUXEMBOURG,2013,Sector
"4.  Land use, land-use change and forestry  (4)",-522.7812594877017,,0.03374003842656,,,Summary1.As2,LUXEMBOURG,2013,Sector
5.  Waste,,3.41851826739541,0.03756989224209,,,Summary1.As2,LUXEMBOURG,2013,Sector
3.  Agriculture,10.69506075089532,17.68660098037386,0.59202222063297,,,Summary1.As2,LUXEMBOURG,2014,Sector
"4.  Land use, land-use change and forestry  (4)",-431.5335559909231,,0.03374003842656,,,Summary1.As2,LUXEMBOURG,2014,Sector
5.  Waste,,3.45884685948384,0.03895053192286,,,Summary1.As2,LUXEMBOURG,2014,Sector
3.  Agriculture,11.18312334093398,18.00572094564762,0.59299303283269,,,Summary1.As2,LUXEMBOURG,2015,Sector
"4.  Land use, land-use change and forestry  (4)",-378.1505744792052,,0.03374003842656,,,Summary1.As2,LUXEMBOURG,2015,Sector
5.  Waste,,3.31529437855735,0.03439188377893,,,Summary1.As2,LUXEMBOURG,2015,Sector
3.  Agriculture,11.06610406000211,18.62255675439611,0.60969792803114,,,Summary1.As2,LUXEMBOURG,2016,Sector
"4.  Land use, land-use change and forestry  (4)",-476.8302020860852,,0.03210308871572,,,Summary1.As2,LUXEMBOURG,2016,Sector
5.  Waste,,3.24943021171635,0.03639063130476,,,Summary1.As2,LUXEMBOURG,2016,Sector
3.  Agriculture,12.76958179485843,18.65551353761203,0.61866704787939,,,Summary1.As2,LUXEMBOURG,2017,Sector
"4.  Land use, land-use change and forestry  (4)",-387.9393895924503,,0.03210308871572,,,Summary1.As2,LUXEMBOURG,2017,Sector
5.  Waste,,3.27002523993008,0.03384046230783,,,Summary1.As2,LUXEMBOURG,2017,Sector
3.  Agriculture,14.613039949443,18.77304087427599,0.60756232131758,,,Summary1.As2,LUXEMBOURG,2018,Sector
"4.  Land use, land-use change and forestry  (4)",-249.65946633755047,,0.03210308871571,,,Summary1.As2,LUXEMBOURG,2018,Sector
5.  Waste,,3.19680316599224,0.03407273443088,,,Summary1.As2,LUXEMBOURG,2018,Sector
3.  Agriculture,14.26811088988297,18.43943024720131,0.60488016091863,,,Summary1.As2,LUXEMBOURG,2019,Sector
"4.  Land use, land-use change and forestry  (4)",-372.1019360222538,,0.03210308871571,,,Summary1.As2,LUXEMBOURG,2019,Sector
5.  Waste,,2.99773064759265,0.03412973132883,,,Summary1.As2,LUXEMBOURG,2019,Sector
3.  Agriculture,14.68639993901844,18.98018161924067,0.59185221240257,,,Summary1.As2,LUXEMBOURG,2020,Sector
"4.  Land use, land-use change and forestry  (4)",-456.1568137144777,,0.03210308871572,,,Summary1.As2,LUXEMBOURG,2020,Sector
5.  Waste,,2.89994312043255,0.03201871482112,,,Summary1.As2,LUXEMBOURG,2020,Sector
3.  Agriculture,13.6149238144528,18.77128871162891,0.59673623744608,,,Summary1.As2,LUXEMBOURG,2021,Sector
"4.  Land use, land-use change and forestry  (4)",-613.855882655156,,0.03210308871572,,,Summary1.As2,LUXEMBOURG,2021,Sector
5.  Waste,,2.82505301343048,0.03455328806679,,,Summary1.As2,LUXEMBOURG,2021,Sector
International bunkers,394.4791844389538,0.0031834151678,0.01305262589566,,,Summary1.As3,LUXEMBOURG,1990,Sector
CO2 emissions from biomass,162.6030762564149,,,,,Summary1.As3,LUXEMBOURG,1990,Sector
International bunkers,412.3136237478858,0.0032931470684,0.01366372268831,,,Summary1.As3,LUXEMBOURG,1991,Sector
CO2 emissions from biomass,166.78531514087842,,,,,Summary1.As3,LUXEMBOURG,1991,Sector
International bunkers,398.6164956966128,0.0035252121391,0.01340341608247,,,Summary1.As3,LUXEMBOURG,1992,Sector
CO2 emissions from biomass,167.44037034801102,,,,,Summary1.As3,LUXEMBOURG,1992,Sector
International bunkers,394.2647452027327,0.00338933203162,0.01313725511485,,,Summary1.As3,LUXEMBOURG,1993,Sector
CO2 emissions from biomass,162.40858121291387,,,,,Summary1.As3,LUXEMBOURG,1993,Sector
International bunkers,500.1480874228731,0.00373261391511,0.01632887630574,,,Summary1.As3,LUXEMBOURG,1994,Sector
CO2 emissions from biomass,160.0456687355367,,,,,Summary1.As3,LUXEMBOURG,1994,Sector
International bunkers,566.9271419553603,0.00376178911853,0.01816105098236,,,Summary1.As3,LUXEMBOURG,1995,Sector
CO2 emissions from biomass,155.83254494710724,,,,,Summary1.As3,LUXEMBOURG,1995,Sector
International bunkers,616.0019237973588,0.00388856843089,0.01950784833575,,,Summary1.As3,LUXEMBOURG,1996,Sector
CO2 emissions from biomass,136.82670573447822,,,,,Summary1.As3,LUXEMBOURG,1996,Sector
International bunkers,736.9423937094064,0.00416038850666,0.02301263101211,,,Summary1.As3,LUXEMBOURG,1997,Sector
CO2 emissions from biomass,147.9590197285974,,,,,Summary1.As3,LUXEMBOURG,1997,Sector
International bunkers,893.3553052395151,0.00433330571102,0.02738787977966,,,Summary1.As3,LUXEMBOURG,1998,Sector
CO2 emissions from biomass,150.2397260447483,,,,,Summary1.As3,LUXEMBOURG,1998,Sector
International bunkers,1007.930746775886,0.00474245359766,0.03064967653695,,,Summary1.As3,LUXEMBOURG,1999,Sector
CO2 emissions from biomass,160.49009768242558,,,,,Summary1.As3,LUXEMBOURG,1999,Sector
International bunkers,960.6393884972464,0.0049012964817,0.02932044115746,,,Summary1.As3,LUXEMBOURG,2000,Sector
CO2 emissions from biomass,160.96151813390807,,,,,Summary1.As3,LUXEMBOURG,2000,Sector
International bunkers,1039.0022846240736,0.00489615026379,0.03142230498608,,,Summary1.As3,LUXEMBOURG,2001,Sector
CO2 emissions from biomass,175.2314777120621,,,,,Summary1.As3,LUXEMBOURG,2001,Sector
International bunkers,1125.700408300172,0.00474502147741,0.03372853580418,,,Summary1.As3,LUXEMBOURG,2002,Sector
CO2 emissions from biomass,177.4558993971886,,,,,Summary1.As3,LUXEMBOURG,2002,Sector
International bunkers,1172.7018631051765,0.00487482402348,0.03512762345702,,,Summary1.As3,LUXEMBOURG,2003,Sector
CO2 emissions from biomass,182.45770222118745,,,,,Summary1.As3,LUXEMBOURG,2003,Sector
International bunkers,1275.9904522210309,0.00500458874123,0.03814201094606,,,Summary1.As3,LUXEMBOURG,2004,Sector
CO2 emissions from biomass,204.01004698513697,,,,,Summary1.As3,LUXEMBOURG,2004,Sector
