GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
2.  Manufacturing industries and construction                          ,762160.690359467,77.38038458972534,10.77246436946291,,,,,Summary1.As1,USA,1997,Subsector,1. Energy
3.  Transport,1611565.6455426351,238.4429448724207,188.41357997076807,,,,,Summary1.As1,USA,1997,Subsector,1. Energy
4.  Other sectors,603182.3412727113,209.78856132732136,4.15807765465141,,,,,Summary1.As1,USA,1997,Subsector,1. Energy
5.  Other,194768.45705704656,1.9643406345711,2.45248780947429,,,,,Summary1.As1,USA,1997,Subsector,1. Energy
B. Fugitive emissions from fuels,41418.98590391448,13141.537051190027,0.08139367647528,,,,,Summary1.As1,USA,1997,Subsector,1. Energy
1.  Solid fuels,4618.51655790248,3377.0629596884173,,,,,,Summary1.As1,USA,1997,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,36800.469346012,9764.47409150161,0.08139367647528,,,,,Summary1.As1,USA,1997,Subsector,1. Energy
B.  Chemical industry,56444.08965309003,14.4523,86.67818642988163,31885.183774185287,,,,Summary1.As1,USA,1997,Subsector,2.  Industrial processes and product use
C.  Metal industry,107541.30167786752,1.446136496,,,11282.438760268447,,0.26520008205448,Summary1.As1,USA,1997,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,367.5758391414107,5153.022209551208,,0.04411339945494,Summary1.As1,USA,1997,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,48291.44645,0.986544,3886.9286286,,Summary1.As1,USA,1997,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,15.74033224253736,,0.9487294511316,,0.70733265087126,Summary1.As1,USA,1997,Subsector,2.  Industrial processes and product use
H.  Other(3),0.35386,,0.30060095783848,,,,,Summary1.As1,USA,1997,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),5462419.03220535,,,,,,,Summary1.As1,USA,1998,Subsector,1. Energy
                                           Sectoral approach(2),5462788.634312503,515.1905431830629,288.32715187548087,,,,,Summary1.As1,USA,1998,Subsector,1. Energy
1.  Energy industries,2331406.923965285,24.33668802500475,80.85000604547903,,,,,Summary1.As1,USA,1998,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,734189.8380980871,73.01912236975718,10.18041211400245,,,,,Summary1.As1,USA,1998,Subsector,1. Energy
3.  Transport,1646323.8624659071,229.53448824588529,191.2359225783313,,,,,Summary1.As1,USA,1998,Subsector,1. Energy
4.  Other sectors,552057.2032945583,186.3649733347982,3.7062563471287,,,,,Summary1.As1,USA,1998,Subsector,1. Energy
5.  Other,198810.80648866485,1.93527120761751,2.3545547905394,,,,,Summary1.As1,USA,1998,Subsector,1. Energy
B. Fugitive emissions from fuels,39021.9007927994,12888.900562934574,0.08221357747337,,,,,Summary1.As1,USA,1998,Subsector,1. Energy
1.  Solid fuels,4608.267824122196,3358.327807769219,,,,,,Summary1.As1,USA,1998,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,34413.6329686772,9530.572755165354,0.08221357747337,,,,,Summary1.As1,USA,1998,Subsector,1. Energy
B.  Chemical industry,57950.15762680429,14.2655,71.57503742858336,41844.10771239356,,,,Summary1.As1,USA,1998,Subsector,2.  Industrial processes and product use
C.  Metal industry,101163.28912713748,1.387765424,,,8957.49374336722,,0.23733817801136,Summary1.As1,USA,1998,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,450.71626063271697,6318.697356311544,,0.05408727646245,Summary1.As1,USA,1998,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,55434.21795,1.941264,4620.634590400001,,Summary1.As1,USA,1998,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,15.74033224253736,,1.05369024953997,,0.60160579545836,Summary1.As1,USA,1998,Subsector,2.  Industrial processes and product use
H.  Other(3),0.47645,,0.27135608373784,,,,,Summary1.As1,USA,1998,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),5527031.66716018,,,,,,,Summary1.As1,USA,1999,Subsector,1. Energy
                                           Sectoral approach(2),5534949.387204873,498.7005741763173,281.07156816568863,,,,,Summary1.As1,USA,1999,Subsector,1. Energy
1.  Energy industries,2341980.58654676,24.74524623636598,81.02336305462725,,,,,Summary1.As1,USA,1999,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,689480.8732415955,71.53192315827376,9.91139148587449,,,,,Summary1.As1,USA,1999,Subsector,1. Energy
3.  Transport,1715217.477442013,207.89946629456372,184.06260421383973,,,,,Summary1.As1,USA,1999,Subsector,1. Energy
4.  Other sectors,571955.5685978297,192.91948204278128,3.85785877902465,,,,,Summary1.As1,USA,1999,Subsector,1. Energy
5.  Other,216314.8813766748,1.60445644433253,2.21635063232251,,,,,Summary1.As1,USA,1999,Subsector,1. Energy
B. Fugitive emissions from fuels,38799.651868471614,12497.527991737355,0.08046383233365,,,,,Summary1.As1,USA,1999,Subsector,1. Energy
1.  Solid fuels,4361.816851139234,3180.473510005001,,,,,,Summary1.As1,USA,1999,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,34437.83501733238,9317.054481732355,0.08046383233365,,,,,Summary1.As1,USA,1999,Subsector,1. Energy
B.  Chemical industry,57705.36167362579,13.7245,68.3562047804398,32230.78387694861,,,,Summary1.As1,USA,1999,Subsector,2.  Industrial processes and product use
C.  Metal industry,99085.347627626,1.391269888,,,8801.532299514483,,0.21115068218987,Summary1.As1,USA,1999,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,457.3797184221808,6412.307552319729,,0.05489089362918,Summary1.As1,USA,1999,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,63392.645319,3.246048,4856.552819,,Summary1.As1,USA,1999,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,15.74033224253736,,1.78436488466205,,0.61554584260547,Summary1.As1,USA,1999,Subsector,2.  Industrial processes and product use
H.  Other(3),0.62036,,0.31463778193797,,,,,Summary1.As1,USA,1999,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),5727725.446515601,,,,,,,Summary1.As1,USA,2000,Subsector,1. Energy
                                           Sectoral approach(2),5743954.001076498,507.494981347934,283.7189104070963,,,,,Summary1.As1,USA,2000,Subsector,1. Energy
1.  Energy industries,2445003.4244880527,26.68654426454339,85.47315373429414,,,,,Summary1.As1,USA,2000,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,719762.5399394959,72.73985182359168,10.1054706376238,,,,,Summary1.As1,USA,2000,Subsector,1. Energy
3.  Transport,1761934.685954169,199.1425756811295,181.55814079097985,,,,,Summary1.As1,USA,2000,Subsector,1. Energy
4.  Other sectors,608539.8943485012,205.99891251860691,4.1359177747896,,,,,Summary1.As1,USA,2000,Subsector,1. Energy
5.  Other,208713.45634627948,2.92709706006243,2.44622746940893,,,,,Summary1.As1,USA,2000,Subsector,1. Energy
B. Fugitive emissions from fuels,38914.65748678751,12517.864338758778,0.08272913524897,,,,,Summary1.As1,USA,2000,Subsector,1. Energy
1.  Solid fuels,4165.172234992755,3080.6321980195567,,,,,,Summary1.As1,USA,2000,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,34749.48525179476,9437.232140739225,0.08272913524897,,,,,Summary1.As1,USA,2000,Subsector,1. Energy
B.  Chemical industry,55526.98596719541,12.0812,69.16437870108041,30328.07618168575,,,,Summary1.As1,USA,2000,Subsector,2.  Industrial processes and product use
C.  Metal industry,100123.51422697007,1.292034752,,,8889.386090188114,,0.12609467834172,Summary1.As1,USA,2000,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,278.5731007682442,5469.851276868008,,0.04438205868231,Summary1.As1,USA,2000,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,70443.5767032,4.914156,4739.877449999999,,Summary1.As1,USA,2000,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,15.74033224253736,,1.98174613773791,,0.59521821230234,Summary1.As1,USA,2000,Subsector,2.  Industrial processes and product use
H.  Other(3),0.67774,,0.3712598642459,,,,,Summary1.As1,USA,2000,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),5703506.4296324095,,,,,,,Summary1.As1,USA,2001,Subsector,1. Energy
                                           Sectoral approach(2),5662897.669498464,477.4953723613778,275.05547484409163,,,,,Summary1.As1,USA,2001,Subsector,1. Energy
1.  Energy industries,2403343.827901856,28.12812040456595,84.85945489953389,,,,,Summary1.As1,USA,2001,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,720257.7613235754,68.00772951921579,9.58621159436783,,,,,Summary1.As1,USA,2001,Subsector,1. Energy
3.  Transport,1732316.4720315456,188.5100158366465,174.12871597077228,,,,,Summary1.As1,USA,2001,Subsector,1. Energy
4.  Other sectors,591804.4315303,189.20915404433995,3.91990811467863,,,,,Summary1.As1,USA,2001,Subsector,1. Energy
5.  Other,215175.17671118703,3.64035255660966,2.56118426473903,,,,,Summary1.As1,USA,2001,Subsector,1. Energy
B. Fugitive emissions from fuels,38696.139937527085,12555.2648927492,0.08452672610051,,,,,Summary1.As1,USA,2001,Subsector,1. Energy
1.  Solid fuels,4273.317498654661,3038.5814929795965,,,,,,Summary1.As1,USA,2001,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,34422.82243887243,9516.683399769605,0.08452672610051,,,,,Summary1.As1,USA,2001,Subsector,1. Energy
B.  Chemical industry,47510.99590108298,8.3643,57.46273726325669,20922.250034796947,,,,Summary1.As1,USA,2001,Subsector,2.  Industrial processes and product use
C.  Metal industry,87007.71927225254,1.056900592,,,3601.7828921438763,,0.12154235683924,Summary1.As1,USA,2001,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,185.14402515056491,3850.218795221183,,0.03020135133359,Summary1.As1,USA,2001,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,77064.3908837,6.635304,4756.5691548,,Summary1.As1,USA,2001,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,15.74033224253736,,1.71395165043224,,0.58337685834694,Summary1.As1,USA,2001,Subsector,2.  Industrial processes and product use
H.  Other(3),0.71275,,0.26779115801408,,,,,Summary1.As1,USA,2001,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),5743639.981041049,,,,,,,Summary1.As1,USA,2002,Subsector,1. Energy
                                           Sectoral approach(2),5700952.9284906415,471.8289416738122,273.0884504520004,,,,,Summary1.As1,USA,2002,Subsector,1. Energy
1.  Energy industries,2415483.906987261,31.41077417218911,89.07294617383062,,,,,Summary1.As1,USA,2002,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,708844.513250266,65.21482901686159,9.14192958962937,,,,,Summary1.As1,USA,2002,Subsector,1. Energy
3.  Transport,1774093.6406463685,179.96440442795003,168.5089703278422,,,,,Summary1.As1,USA,2002,Subsector,1. Energy
4.  Other sectors,590373.7110273505,191.9338704712833,3.87256723307838,,,,,Summary1.As1,USA,2002,Subsector,1. Energy
5.  Other,212157.15657939544,3.30506358552817,2.49203712761985,,,,,Summary1.As1,USA,2002,Subsector,1. Energy
B. Fugitive emissions from fuels,38892.520388376586,12237.791908428637,0.0853440507335,,,,,Summary1.As1,USA,2002,Subsector,1. Energy
1.  Solid fuels,4036.1406607405775,2845.722260195401,,,,,,Summary1.As1,USA,2002,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,34856.37972763601,9392.069648233237,0.0853440507335,,,,,Summary1.As1,USA,2002,Subsector,1. Energy
B.  Chemical industry,49887.3946822143,8.6557,62.52200825922964,22371.9277414966,,,,Summary1.As1,USA,2002,Subsector,2.  Industrial processes and product use
