GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),SF6 (kt)
G.  Other product manufacture and use ,,,0.01473018459707,Summary1.As1,LATVIA,1998,Subsector,2.  Industrial processes and product use,,2.261104e-05
H.  Other(3),,,,Summary1.As1,LATVIA,1998,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),6957.979656320402,,,Summary1.As1,LATVIA,1999,Subsector,1. Energy,,
                                           Sectoral approach(2),7445.643889046762,11.63511737450334,0.40646315219268,Summary1.As1,LATVIA,1999,Subsector,1. Energy,,
1.  Energy industries,2940.2801743098803,0.18941789911966,0.03019077991197,Summary1.As1,LATVIA,1999,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1422.612652537919,0.14854155603198,0.06390058011321,Summary1.As1,LATVIA,1999,Subsector,1. Energy,,
3.  Transport,1949.36436961396,0.51788612959304,0.1342349772666,Summary1.As1,LATVIA,1999,Subsector,1. Energy,,
4.  Other sectors,1123.9694754850025,10.77920591249366,0.1778733058409,Summary1.As1,LATVIA,1999,Subsector,1. Energy,,
5.  Other,9.4172171,6.5877265e-05,0.00026350906,Summary1.As1,LATVIA,1999,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.007556,6.511131,,Summary1.As1,LATVIA,1999,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.007556,6.511131,,Summary1.As1,LATVIA,1999,Subsector,1. Energy,,
A.  Mineral industry,173.66896398483956,,,Summary1.As1,LATVIA,1999,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,34.01103191484716,,,Summary1.As1,LATVIA,1999,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LATVIA,1999,Subsector,2.  Industrial processes and product use,53.81920568044546,
G.  Other product manufacture and use ,,,0.0145991104281,Summary1.As1,LATVIA,1999,Subsector,2.  Industrial processes and product use,,3.104088e-05
H.  Other(3),,,,Summary1.As1,LATVIA,1999,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),6402.174001133523,,,Summary1.As1,LATVIA,2000,Subsector,1. Energy,,
                                           Sectoral approach(2),6857.801061749478,10.92312602387255,0.39922068410598,Summary1.As1,LATVIA,2000,Subsector,1. Energy,,
1.  Energy industries,2491.0028399491807,0.150995650076,0.0244708750076,Summary1.As1,LATVIA,2000,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1156.546741127046,0.12447153023197,0.0582846869432,Summary1.As1,LATVIA,2000,Subsector,1. Energy,,
3.  Transport,2160.650252774847,0.54521707907787,0.14109304115476,Summary1.As1,LATVIA,2000,Subsector,1. Energy,,
4.  Other sectors,1049.4658002984042,10.10244079714671,0.17536821164042,Summary1.As1,LATVIA,2000,Subsector,1. Energy,,
5.  Other,0.1354276,9.6734e-07,3.86936e-06,Summary1.As1,LATVIA,2000,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.006991,6.025452,,Summary1.As1,LATVIA,2000,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.006991,6.025452,,Summary1.As1,LATVIA,2000,Subsector,1. Energy,,
A.  Mineral industry,122.68385291582784,,,Summary1.As1,LATVIA,2000,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,33.76818627498217,,,Summary1.As1,LATVIA,2000,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LATVIA,2000,Subsector,2.  Industrial processes and product use,62.10987004016148,
G.  Other product manufacture and use ,,,0.0144660647615,Summary1.As1,LATVIA,2000,Subsector,2.  Industrial processes and product use,,3.87358e-05
H.  Other(3),,,,Summary1.As1,LATVIA,2000,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),7006.257085630479,,,Summary1.As1,LATVIA,2001,Subsector,1. Energy,,
                                           Sectoral approach(2),7253.994150999332,12.08184184348854,0.42991144154246,Summary1.As1,LATVIA,2001,Subsector,1. Energy,,
1.  Energy industries,2435.862909947434,0.168824115282,0.0246634615282,Summary1.As1,LATVIA,2001,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1055.2025062196658,0.16438674634455,0.05985574815446,Summary1.As1,LATVIA,2001,Subsector,1. Energy,,
3.  Transport,2556.3246370731868,0.60014913077575,0.15455436647986,Summary1.As1,LATVIA,2001,Subsector,1. Energy,,
4.  Other sectors,1206.4378911590456,11.14848066389624,0.19083311661994,Summary1.As1,LATVIA,2001,Subsector,1. Energy,,
5.  Other,0.1662066,1.18719e-06,4.74876e-06,Summary1.As1,LATVIA,2001,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.007253,5.843323,,Summary1.As1,LATVIA,2001,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.007253,5.843323,,Summary1.As1,LATVIA,2001,Subsector,1. Energy,,
A.  Mineral industry,145.16449241701875,,,Summary1.As1,LATVIA,2001,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,33.45864857223513,,,Summary1.As1,LATVIA,2001,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LATVIA,2001,Subsector,2.  Industrial processes and product use,69.99325825119932,
G.  Other product manufacture and use ,,,0.01432003398387,Summary1.As1,LATVIA,2001,Subsector,2.  Industrial processes and product use,,6.081916e-05
H.  Other(3),,,,Summary1.As1,LATVIA,2001,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),6704.520746228463,,,Summary1.As1,LATVIA,2002,Subsector,1. Energy,,
                                           Sectoral approach(2),7253.077048755836,11.79267182768895,0.43238603119907,Summary1.As1,LATVIA,2002,Subsector,1. Energy,,
1.  Energy industries,2331.2111713979816,0.18038317207894,0.02573521720789,Summary1.As1,LATVIA,2002,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1104.5625815236672,0.16379797787412,0.05584995739741,Summary1.As1,LATVIA,2002,Subsector,1. Energy,,
3.  Transport,2634.5402057029723,0.57133869376308,0.15975929912928,Summary1.As1,LATVIA,2002,Subsector,1. Energy,,
4.  Other sectors,1175.9864928362142,10.87662124632281,0.19085742556449,Summary1.As1,LATVIA,2002,Subsector,1. Energy,,
5.  Other,6.776597295,0.00053073765,0.0001841319,Summary1.As1,LATVIA,2002,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.007417,6.102558,,Summary1.As1,LATVIA,2002,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.007417,6.102558,,Summary1.As1,LATVIA,2002,Subsector,1. Energy,,
A.  Mineral industry,154.9297823349849,,,Summary1.As1,LATVIA,2002,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,33.17241909859827,,,Summary1.As1,LATVIA,2002,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LATVIA,2002,Subsector,2.  Industrial processes and product use,77.43568845805923,
G.  Other product manufacture and use ,,,0.01412271384316,Summary1.As1,LATVIA,2002,Subsector,2.  Industrial processes and product use,,0.00011485908
H.  Other(3),,,,Summary1.As1,LATVIA,2002,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),7125.991997419971,,,Summary1.As1,LATVIA,2003,Subsector,1. Energy,,
                                           Sectoral approach(2),7438.306942624547,12.20609794879829,0.46108974707823,Summary1.As1,LATVIA,2003,Subsector,1. Energy,,
1.  Energy industries,2259.747411414653,0.20264695390561,0.02778929539056,Summary1.As1,LATVIA,2003,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1123.7069801453906,0.15044136378603,0.0531493808586,Summary1.As1,LATVIA,2003,Subsector,1. Energy,,
3.  Transport,2779.641266985081,0.54193076896342,0.17554389280923,Summary1.As1,LATVIA,2003,Subsector,1. Energy,,
4.  Other sectors,1268.8635924534226,11.31061607043823,0.20443411125984,Summary1.As1,LATVIA,2003,Subsector,1. Energy,,
5.  Other,6.347691626,0.000462791705,0.00017306676,Summary1.As1,LATVIA,2003,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.005528,4.7631117,,Summary1.As1,LATVIA,2003,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.005528,4.7631117,,Summary1.As1,LATVIA,2003,Subsector,1. Energy,,
A.  Mineral industry,163.38858519617972,,,Summary1.As1,LATVIA,2003,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,34.19517854162556,,,Summary1.As1,LATVIA,2003,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LATVIA,2003,Subsector,2.  Industrial processes and product use,84.82827312181908,
G.  Other product manufacture and use ,,,0.01399148755247,Summary1.As1,LATVIA,2003,Subsector,2.  Industrial processes and product use,,0.00012086312
H.  Other(3),,,,Summary1.As1,LATVIA,2003,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),6703.010682307823,,,Summary1.As1,LATVIA,2004,Subsector,1. Energy,,
                                           Sectoral approach(2),7449.469674957187,12.51961679308213,0.48933328809278,Summary1.As1,LATVIA,2004,Subsector,1. Energy,,
1.  Energy industries,2068.303757537114,0.198351,0.0263596,Summary1.As1,LATVIA,2004,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1137.1666761583676,0.19498142132017,0.06338067481201,Summary1.As1,LATVIA,2004,Subsector,1. Energy,,
3.  Transport,2919.999848712425,0.52059855185574,0.18147910266908,Summary1.As1,LATVIA,2004,Subsector,1. Energy,,
4.  Other sectors,1312.4890570502805,11.60488619615122,0.21779989173169,Summary1.As1,LATVIA,2004,Subsector,1. Energy,,
5.  Other,11.510335499,0.000799623755,0.00031401888,Summary1.As1,LATVIA,2004,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.005472,4.714775,,Summary1.As1,LATVIA,2004,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.005472,4.714775,,Summary1.As1,LATVIA,2004,Subsector,1. Energy,,
A.  Mineral industry,174.50469220537653,,,Summary1.As1,LATVIA,2004,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,36.75802043647733,,,Summary1.As1,LATVIA,2004,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LATVIA,2004,Subsector,2.  Industrial processes and product use,92.5963080011024,
G.  Other product manufacture and use ,,,0.01385232659224,Summary1.As1,LATVIA,2004,Subsector,2.  Industrial processes and product use,,0.0001426306
H.  Other(3),,,,Summary1.As1,LATVIA,2004,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),6583.1912767789545,,,Summary1.As1,LATVIA,2005,Subsector,1. Energy,,
                                           Sectoral approach(2),7549.349766936643,12.41503752202917,0.48956423202756,Summary1.As1,LATVIA,2005,Subsector,1. Energy,,
1.  Energy industries,2058.127739632077,0.172829,0.0227356,Summary1.As1,LATVIA,2005,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1143.5875288606142,0.23435135152372,0.06924018381238,Summary1.As1,LATVIA,2005,Subsector,1. Energy,,
3.  Transport,3047.340977097588,0.48779566143819,0.18358046635969,Summary1.As1,LATVIA,2005,Subsector,1. Energy,,
4.  Other sectors,1292.6733739663646,11.51950832281226,0.21380033993549,Summary1.As1,LATVIA,2005,Subsector,1. Energy,,
5.  Other,7.62014738,0.000553186255,0.00020764192,Summary1.As1,LATVIA,2005,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.006182,5.327239,,Summary1.As1,LATVIA,2005,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.006182,5.327239,,Summary1.As1,LATVIA,2005,Subsector,1. Energy,,
A.  Mineral industry,165.3778325219195,,,Summary1.As1,LATVIA,2005,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,38.75792013828762,,,Summary1.As1,LATVIA,2005,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LATVIA,2005,Subsector,2.  Industrial processes and product use,100.5914154696608,
G.  Other product manufacture and use ,,,0.01368927643527,Summary1.As1,LATVIA,2005,Subsector,2.  Industrial processes and product use,,0.00016569784
H.  Other(3),4.849196,,,Summary1.As1,LATVIA,2005,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),7596.296532159399,,,Summary1.As1,LATVIA,2006,Subsector,1. Energy,,
                                           Sectoral approach(2),8023.101680710078,12.03803429375484,0.51475614493135,Summary1.As1,LATVIA,2006,Subsector,1. Energy,,
1.  Energy industries,2084.682925062385,0.190296,0.0246839,Summary1.As1,LATVIA,2006,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1214.7458899582423,0.24947747192507,0.07546774854251,Summary1.As1,LATVIA,2006,Subsector,1. Energy,,
3.  Transport,3362.9837216057526,0.4937090879265,0.17766083555234,Summary1.As1,LATVIA,2006,Subsector,1. Energy,,
4.  Other sectors,1351.780918094698,11.10401539382327,0.2366995580565,Summary1.As1,LATVIA,2006,Subsector,1. Energy,,
5.  Other,8.908225989,0.00053634008,0.00024410278,Summary1.As1,LATVIA,2006,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.004434,3.820927,,Summary1.As1,LATVIA,2006,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.004434,3.820927,,Summary1.As1,LATVIA,2006,Subsector,1. Energy,,
