GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),SF6 (kt)
5.  Waste,0.038796,18.88504518479462,0.174237292,Summary1.As2,LATVIA,2020,Sector,,
3.  Agriculture,83.33453333333333,37.8493158533152,4.18807784497541,Summary1.As2,LATVIA,2021,Sector,,
"4.  Land use, land-use change and forestry  (4)",956.294479296962,31.0108624384,2.150392,Summary1.As2,LATVIA,2021,Sector,,
5.  Waste,0.033,18.45892957421208,0.181551301,Summary1.As2,LATVIA,2021,Sector,,
International bunkers,1736.6338850000002,0.09527788,0.1860246,Summary1.As3,LATVIA,1990,Sector,,
CO2 emissions from biomass,3024.516665951485,,,Summary1.As3,LATVIA,1990,Sector,,
Indirect CO2,40.40903614721011,,,Summary1.As3,LATVIA,1990,Sector,,
International bunkers,752.1645425,0.03067784,0.0426637,Summary1.As3,LATVIA,1991,Sector,,
CO2 emissions from biomass,3547.134141556062,,,Summary1.As3,LATVIA,1991,Sector,,
Indirect CO2,38.38595173222819,,,Summary1.As3,LATVIA,1991,Sector,,
International bunkers,659.6692725,0.0372366,0.0350949,Summary1.As3,LATVIA,1992,Sector,,
CO2 emissions from biomass,3537.126104880974,,,Summary1.As3,LATVIA,1992,Sector,,
Indirect CO2,35.53169331568741,,,Summary1.As3,LATVIA,1992,Sector,,
International bunkers,763.9761675,0.04334088,0.0592575,Summary1.As3,LATVIA,1993,Sector,,
CO2 emissions from biomass,3941.1402097808464,,,Summary1.As3,LATVIA,1993,Sector,,
Indirect CO2,33.60348749021582,,,Summary1.As3,LATVIA,1993,Sector,,
International bunkers,972.679085,0.0558792,0.1087658,Summary1.As3,LATVIA,1994,Sector,,
CO2 emissions from biomass,4085.6970817888887,,,Summary1.As3,LATVIA,1994,Sector,,
Indirect CO2,32.9971997119539,,,Summary1.As3,LATVIA,1994,Sector,,
International bunkers,559.537195,0.03073996,0.0456146,Summary1.As3,LATVIA,1995,Sector,,
CO2 emissions from biomass,4631.318370560073,,,Summary1.As3,LATVIA,1995,Sector,,
Indirect CO2,32.03395259655956,,,Summary1.As3,LATVIA,1995,Sector,,
International bunkers,411.513725,0.02006132,0.0370606,Summary1.As3,LATVIA,1996,Sector,,
CO2 emissions from biomass,4841.422305659972,,,Summary1.As3,LATVIA,1996,Sector,,
Indirect CO2,30.76919247127707,,,Summary1.As3,LATVIA,1996,Sector,,
International bunkers,326.60047000000003,0.0146464,0.0324812,Summary1.As3,LATVIA,1997,Sector,,
CO2 emissions from biomass,4852.605386212094,,,Summary1.As3,LATVIA,1997,Sector,,
Indirect CO2,28.86794800073712,,,Summary1.As3,LATVIA,1997,Sector,,
International bunkers,137.9014175,0.00324188,0.0192391,Summary1.As3,LATVIA,1998,Sector,,
CO2 emissions from biomass,4789.28947824116,,,Summary1.As3,LATVIA,1998,Sector,,
Indirect CO2,27.41240470956954,,,Summary1.As3,LATVIA,1998,Sector,,
International bunkers,122.088155,0.002326,0.0152526,Summary1.As3,LATVIA,1999,Sector,,
CO2 emissions from biomass,4703.024824156506,,,Summary1.As3,LATVIA,1999,Sector,,
Indirect CO2,26.68118920521534,,,Summary1.As3,LATVIA,1999,Sector,,
International bunkers,106.39174,0.00192128,0.012444,Summary1.As3,LATVIA,2000,Sector,,
CO2 emissions from biomass,4370.823324383606,,,Summary1.As3,LATVIA,2000,Sector,,
Indirect CO2,24.78428390433124,,,Summary1.As3,LATVIA,2000,Sector,,
International bunkers,703.4121500000001,0.0372486,0.1375928,Summary1.As3,LATVIA,2001,Sector,,
CO2 emissions from biomass,4881.002660118583,,,Summary1.As3,LATVIA,2001,Sector,,
Indirect CO2,24.17899813824455,,,Summary1.As3,LATVIA,2001,Sector,,
International bunkers,740.5883975000002,0.0399988,0.1206699,Summary1.As3,LATVIA,2002,Sector,,
CO2 emissions from biomass,4850.619357407792,,,Summary1.As3,LATVIA,2002,Sector,,
Indirect CO2,25.00644688868267,,,Summary1.As3,LATVIA,2002,Sector,,
International bunkers,721.0249865000001,0.037000675,0.10592388,Summary1.As3,LATVIA,2003,Sector,,
CO2 emissions from biomass,5150.397778079901,,,Summary1.As3,LATVIA,2003,Sector,,
Indirect CO2,19.8871840200262,,,Summary1.As3,LATVIA,2003,Sector,,
International bunkers,794.1658864729229,0.04098486,0.11114917885628,Summary1.As3,LATVIA,2004,Sector,,
CO2 emissions from biomass,5430.501295116021,,,Summary1.As3,LATVIA,2004,Sector,,
Indirect CO2,19.46295365168694,,,Summary1.As3,LATVIA,2004,Sector,,
International bunkers,1011.3940629937516,0.05298398,0.13492360342837,Summary1.As3,LATVIA,2005,Sector,,
CO2 emissions from biomass,5439.317575733717,,,Summary1.As3,LATVIA,2005,Sector,,
Indirect CO2,21.34811466964628,,,Summary1.As3,LATVIA,2005,Sector,,
International bunkers,831.3223435916454,0.04120256,0.1006486497172,Summary1.As3,LATVIA,2006,Sector,,
CO2 emissions from biomass,5479.374189746614,,,Summary1.As3,LATVIA,2006,Sector,,
Indirect CO2,16.57375342216475,,,Summary1.As3,LATVIA,2006,Sector,,
International bunkers,815.4404033708632,0.03799278,0.09341785685304,Summary1.As3,LATVIA,2007,Sector,,
CO2 emissions from biomass,5355.376213028552,,,Summary1.As3,LATVIA,2007,Sector,,
