GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),SF6 (kt),PFCs(1)
5.  Waste,6.432,181.735078,1.065078,Summary1.As2,KAZAKHSTAN,2014,Sector,,,
3.  Agriculture,0.27,731.19641,50.41839,Summary1.As2,KAZAKHSTAN,2015,Sector,,,
"4.  Land use, land-use change and forestry  (4)",20710.163333333352,3.16,0.272,Summary1.As2,KAZAKHSTAN,2015,Sector,,,
5.  Waste,6.455,184.042393,1.084393,Summary1.As2,KAZAKHSTAN,2015,Sector,,,
3.  Agriculture,0.59,760.11716,52.2238,Summary1.As2,KAZAKHSTAN,2016,Sector,,,
"4.  Land use, land-use change and forestry  (4)",19027.030000000017,0.38,0.031,Summary1.As2,KAZAKHSTAN,2016,Sector,,,
5.  Waste,49.5392,188.60078,1.13378,Summary1.As2,KAZAKHSTAN,2016,Sector,,,
3.  Agriculture,1.97,797.14787,54.69104,Summary1.As2,KAZAKHSTAN,2017,Sector,,,
"4.  Land use, land-use change and forestry  (4)",24771.086666666684,8.44,0.754,Summary1.As2,KAZAKHSTAN,2017,Sector,,,
5.  Waste,27.3441,191.90864,1.14864,Summary1.As2,KAZAKHSTAN,2017,Sector,,,
3.  Agriculture,2.54,839.26824,56.61722,Summary1.As2,KAZAKHSTAN,2018,Sector,,,
"4.  Land use, land-use change and forestry  (4)",20563.956666666683,2.06,0.177,Summary1.As2,KAZAKHSTAN,2018,Sector,,,
5.  Waste,21.2761,195.70751,1.23451,Summary1.As2,KAZAKHSTAN,2018,Sector,,,
3.  Agriculture,3.22,875.66804,57.7416,Summary1.As2,KAZAKHSTAN,2019,Sector,,,
"4.  Land use, land-use change and forestry  (4)",14252.306666666678,2.71,0.157,Summary1.As2,KAZAKHSTAN,2019,Sector,,,
5.  Waste,9.9907,201.59981,1.23681,Summary1.As2,KAZAKHSTAN,2019,Sector,,,
3.  Agriculture,5.6,929.40829,61.00238,Summary1.As2,KAZAKHSTAN,2020,Sector,,,
"4.  Land use, land-use change and forestry  (4)",7987.780000000006,3.06,0.211,Summary1.As2,KAZAKHSTAN,2020,Sector,,,
5.  Waste,25.3812,224.22731,1.29731,Summary1.As2,KAZAKHSTAN,2020,Sector,,,
3.  Agriculture,4.12,973.45812,62.09683,Summary1.As2,KAZAKHSTAN,2021,Sector,,,
"4.  Land use, land-use change and forestry  (4)",2604.3700000000013,2.254,0.18,Summary1.As2,KAZAKHSTAN,2021,Sector,,,
5.  Waste,0.1003,235.31707,1.27007,Summary1.As2,KAZAKHSTAN,2021,Sector,,,
International bunkers,666.080436,0.012499790486,0.01854365507,Summary1.As3,KAZAKHSTAN,1990,Sector,,,
CO2 emissions from biomass,1166.88,,,Summary1.As3,KAZAKHSTAN,1990,Sector,,,
International bunkers,618.0382499,0.00925116205,0.01723247619,Summary1.As3,KAZAKHSTAN,1991,Sector,,,
CO2 emissions from biomass,994.23,,,Summary1.As3,KAZAKHSTAN,1991,Sector,,,
International bunkers,577.578962,0.00865247003,0.01610429111,Summary1.As3,KAZAKHSTAN,1992,Sector,,,
CO2 emissions from biomass,831.12,,,Summary1.As3,KAZAKHSTAN,1992,Sector,,,
International bunkers,296.067838,0.006037276,0.0082371426,Summary1.As3,KAZAKHSTAN,1993,Sector,,,
CO2 emissions from biomass,725.99,,,Summary1.As3,KAZAKHSTAN,1993,Sector,,,
International bunkers,115.88074212,0.00453169167,0.003199665689,Summary1.As3,KAZAKHSTAN,1994,Sector,,,
CO2 emissions from biomass,603.76,,,Summary1.As3,KAZAKHSTAN,1994,Sector,,,
International bunkers,107.099281,0.00425298,0.0029564685,Summary1.As3,KAZAKHSTAN,1995,Sector,,,
CO2 emissions from biomass,565.59,,,Summary1.As3,KAZAKHSTAN,1995,Sector,,,
International bunkers,93.283952,0.003539176,0.0025769504,Summary1.As3,KAZAKHSTAN,1996,Sector,,,
CO2 emissions from biomass,558.39,,,Summary1.As3,KAZAKHSTAN,1996,Sector,,,
International bunkers,92.059425,0.00364324,0.0025414342,Summary1.As3,KAZAKHSTAN,1997,Sector,,,
CO2 emissions from biomass,569.77,,,Summary1.As3,KAZAKHSTAN,1997,Sector,,,
International bunkers,70.872047,0.002784597,0.001956752,Summary1.As3,KAZAKHSTAN,1998,Sector,,,
CO2 emissions from biomass,554.42,,,Summary1.As3,KAZAKHSTAN,1998,Sector,,,
International bunkers,44.690511,0.002279795,0.001228011,Summary1.As3,KAZAKHSTAN,1999,Sector,,,
CO2 emissions from biomass,628.84,,,Summary1.As3,KAZAKHSTAN,1999,Sector,,,
International bunkers,43.20119,0.002277436,0.0011862608,Summary1.As3,KAZAKHSTAN,2000,Sector,,,
CO2 emissions from biomass,334.96,,,Summary1.As3,KAZAKHSTAN,2000,Sector,,,
International bunkers,13.31119435,0.0004212505,0.00036842759,Summary1.As3,KAZAKHSTAN,2001,Sector,,,
CO2 emissions from biomass,433.93,,,Summary1.As3,KAZAKHSTAN,2001,Sector,,,
International bunkers,20.0849827,0.0005511174,0.00055721,Summary1.As3,KAZAKHSTAN,2002,Sector,,,
