GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,CO2 (kt),CH4,N2O,Year
A.  Solid waste disposal (5),Total national emissions and removals,Waste,A.  Solid waste disposal (5),,2530.7990466070787,,1997
B.  Biological treatment of solid waste (5),Total national emissions and removals,Waste,B.  Biological treatment of solid waste (5),,7.21159692822735,0.43222844523607,1997
C.  Incineration and open burning of waste (5),Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),730.1345457801694,3.12702526208138,0.17339948747782,1997
D.  Wastewater treatment and discharge,Total national emissions and removals,Waste,D.  Wastewater treatment and discharge,,90.59514889160396,3.20869202991993,1997
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,986.7518717568744,1176.7034605179344,62.4856611440181,1998
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,992.6772419188876,,1998
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,172.99614611488107,11.89334166424726,1998
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,50.02567619993229,1998
G. Liming,Total national emissions and removals,Agriculture,G. Liming,817.735351240372,,,1998
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,165.97620635094168,,,1998
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,3.04031416556084,11.03007248416594,0.56664327983855,1998
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",-815.3711766353647,197.18831870558944,6.57579459039552,1998
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-16471.783586163427,3.98379586303697,1.67128451905945,1998
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),14309.950739076014,11.75658367144519,2.1870345850651,1998
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-1549.4823578236735,97.95302204540226,0.07321429629102,1998
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),505.92783349617895,82.81163331321137,0.0694792353498,1998
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),4677.284892811196,0.16528269745915,1.26875450980436,1998
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-2287.2686980316503,,,1998
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.51800111503449,0.4153316829441,1998
5.  Waste,Total national emissions and removals,Waste,5.  Waste,734.118553929963,2587.9950037190024,3.95283236716829,1998
A.  Solid waste disposal (5),Total national emissions and removals,Waste,A.  Solid waste disposal (5),,2490.819244662609,,1998
B.  Biological treatment of solid waste (5),Total national emissions and removals,Waste,B.  Biological treatment of solid waste (5),,8.13062351528748,0.48737004045968,1998
C.  Incineration and open burning of waste (5),Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),734.118553929963,3.06658484744301,0.27541333938398,1998
D.  Wastewater treatment and discharge,Total national emissions and removals,Waste,D.  Wastewater treatment and discharge,,85.97855069366298,3.19004898732463,1998
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,930.6023778262796,1171.087387353348,62.59854726931179,1999
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,989.8138360371128,,1999
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,170.1118943865644,11.55904303026542,1999
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,50.46471303003741,1999
G. Liming,Total national emissions and removals,Agriculture,G. Liming,768.7174913770759,,,1999
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,158.83944196676083,,,1999
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,3.04544448244289,11.16165692967116,0.57479120900896,1999
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",-647.7010574525444,196.81064816629672,6.44261699698693,1999
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-16587.44761221034,3.77690575375192,1.67008845820466,1999
