GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
C.  Metal industry,97.608,1.09809,,Summary1.As1,BLR,1997,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,8.35247013333333,,,Summary1.As1,BLR,1997,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,1997,Subsector,2.  Industrial processes and product use,3.08533995,18.680237793756,0.0002079
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,1997,Subsector,2.  Industrial processes and product use,1.52989512243,,
G.  Other product manufacture and use ,,,0.188,Summary1.As1,BLR,1997,Subsector,2.  Industrial processes and product use,,,2.515e-06
H.  Other(3),,,,Summary1.As1,BLR,1997,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),50322.037133346654,,,Summary1.As1,BLR,1998,Subsector,1. Energy,,,
                                           Sectoral approach(2),55345.044841,13.6401312245,1.675390098,Summary1.As1,BLR,1998,Subsector,1. Energy,,,
1.  Energy industries,34810.959616500004,0.96100739,0.169093842,Summary1.As1,BLR,1998,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,4362.7215685,0.16076357,0.026038972,Summary1.As1,BLR,1998,Subsector,1. Energy,,,
3.  Transport,8257.4829295,2.1260669045,0.735723424,Summary1.As1,BLR,1998,Subsector,1. Energy,,,
4.  Other sectors,7077.7616465,9.92203436,0.738652312,Summary1.As1,BLR,1998,Subsector,1. Energy,,,
5.  Other,836.1190799999999,0.470259,0.005881548,Summary1.As1,BLR,1998,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.25020144429245,103.12779627018348,9.12e-07,Summary1.As1,BLR,1998,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.25020144429245,103.12779627018348,9.12e-07,Summary1.As1,BLR,1998,Subsector,1. Energy,,,
A.  Mineral industry,1665.0354792743342,,,Summary1.As1,BLR,1998,Subsector,1. Energy,,,
C.  Metal industry,112.936,1.27053,,Summary1.As1,BLR,1998,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,6.35719671546667,,,Summary1.As1,BLR,1998,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,1998,Subsector,2.  Industrial processes and product use,3.08533995,18.680237793756,0.0002079
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,1998,Subsector,2.  Industrial processes and product use,1.9579060447537,,
G.  Other product manufacture and use ,,,0.224,Summary1.As1,BLR,1998,Subsector,2.  Industrial processes and product use,,,2.905e-06
H.  Other(3),,,,Summary1.As1,BLR,1998,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),48346.65031850935,,,Summary1.As1,BLR,1999,Subsector,1. Energy,,,
                                           Sectoral approach(2),53388.0167225,13.7186030645,1.593443222,Summary1.As1,BLR,1999,Subsector,1. Energy,,,
1.  Energy industries,34123.1224385,0.95826789,0.159097414,Summary1.As1,BLR,1999,Subsector,1. Energy,,,
