GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),SF6 (kt)
5.  Waste,1.955262925,41.39213631395139,0.18072145369167,Summary1.As2,LITHUANIA,2014,Sector,,
3.  Agriculture,61.50778692891237,78.75376642352083,8.56990008333122,Summary1.As2,LITHUANIA,2015,Sector,,
"4.  Land use, land-use change and forestry  (4)",-8085.42013382365,0.0515051147922,0.49268509971863,Summary1.As2,LITHUANIA,2015,Sector,,
5.  Waste,5.7214333,39.10823819716523,0.18502408211229,Summary1.As2,LITHUANIA,2015,Sector,,
3.  Agriculture,57.00386052429644,76.30768546640797,8.49411539875683,Summary1.As2,LITHUANIA,2016,Sector,,
"4.  Land use, land-use change and forestry  (4)",-7276.106140190996,0.0275194055085,0.52845454478705,Summary1.As2,LITHUANIA,2016,Sector,,
5.  Waste,0.63918185833333,38.20454638626966,0.22465495872816,Summary1.As2,LITHUANIA,2016,Sector,,
3.  Agriculture,52.58395686621073,74.04935679725897,8.58129796316868,Summary1.As2,LITHUANIA,2017,Sector,,
"4.  Land use, land-use change and forestry  (4)",-6693.422138844362,0.01220542101798,0.53401714017413,Summary1.As2,LITHUANIA,2017,Sector,,
5.  Waste,1.26221828333334,37.80417108815124,0.22692676690869,Summary1.As2,LITHUANIA,2017,Sector,,
3.  Agriculture,55.27243969439541,72.61250076856818,8.21557801368317,Summary1.As2,LITHUANIA,2018,Sector,,
"4.  Land use, land-use change and forestry  (4)",-5734.513516372189,0.02435018173896,0.56929466947648,Summary1.As2,LITHUANIA,2018,Sector,,
5.  Waste,0.86853240833333,33.22314784931062,0.25893292089652,Summary1.As2,LITHUANIA,2018,Sector,,
3.  Agriculture,67.49972113607546,71.25259114061666,8.39394892932924,Summary1.As2,LITHUANIA,2019,Sector,,
"4.  Land use, land-use change and forestry  (4)",-6035.066184489943,0.04406710426684,0.57036310609847,Summary1.As2,LITHUANIA,2019,Sector,,
5.  Waste,1.6807131,31.75946259470185,0.25439697274436,Summary1.As2,LITHUANIA,2019,Sector,,
3.  Agriculture,104.27147395638175,70.10831696512724,9.20922119503739,Summary1.As2,LITHUANIA,2020,Sector,,
"4.  Land use, land-use change and forestry  (4)",-6771.033161066358,0.01399086982606,0.50784327091859,Summary1.As2,LITHUANIA,2020,Sector,,
5.  Waste,2.10852895,30.90439429971044,0.24636048919638,Summary1.As2,LITHUANIA,2020,Sector,,
3.  Agriculture,115.187327891195,70.70092655558874,8.42605320944969,Summary1.As2,LITHUANIA,2021,Sector,,
"4.  Land use, land-use change and forestry  (4)",-6238.06602709712,0.00312040634184,0.55503883991488,Summary1.As2,LITHUANIA,2021,Sector,,
5.  Waste,2.4482601,29.58452653978808,0.2371262073041,Summary1.As2,LITHUANIA,2021,Sector,,
International bunkers,701.08368,0.030019,0.018832,Summary1.As3,LITHUANIA,1990,Sector,,
CO2 emissions from biomass,1207.56744,,,Summary1.As3,LITHUANIA,1990,Sector,,
Long-term storage of C in waste disposal sites,2160.504082900361,,,Summary1.As3,LITHUANIA,1990,Sector,,
Indirect CO2,34.34641226406127,,,Summary1.As3,LITHUANIA,1990,Sector,,
International bunkers,978.45424,0.048277,0.026136,Summary1.As3,LITHUANIA,1991,Sector,,
CO2 emissions from biomass,1207.56744,,,Summary1.As3,LITHUANIA,1991,Sector,,
Long-term storage of C in waste disposal sites,2242.621748399566,,,Summary1.As3,LITHUANIA,1991,Sector,,
Indirect CO2,34.62712271007641,,,Summary1.As3,LITHUANIA,1991,Sector,,
International bunkers,1119.25072,0.084791,0.029218,Summary1.As3,LITHUANIA,1992,Sector,,
CO2 emissions from biomass,1208.4795,,,Summary1.As3,LITHUANIA,1992,Sector,,
Long-term storage of C in waste disposal sites,2321.9187032512737,,,Summary1.As3,LITHUANIA,1992,Sector,,
Indirect CO2,34.79779015427273,,,Summary1.As3,LITHUANIA,1992,Sector,,
International bunkers,618.18944,0.046824,0.016138,Summary1.As3,LITHUANIA,1993,Sector,,
CO2 emissions from biomass,1804.56138,,,Summary1.As3,LITHUANIA,1993,Sector,,
Long-term storage of C in waste disposal sites,2395.6266180104467,,,Summary1.As3,LITHUANIA,1993,Sector,,
Indirect CO2,34.90264563098287,,,Summary1.As3,LITHUANIA,1993,Sector,,
International bunkers,596.6774399999999,0.044342,0.015596,Summary1.As3,LITHUANIA,1994,Sector,,
CO2 emissions from biomass,1865.6694,,,Summary1.As3,LITHUANIA,1994,Sector,,
Long-term storage of C in waste disposal sites,2466.942522591496,,,Summary1.As3,LITHUANIA,1994,Sector,,
Indirect CO2,34.97139122247071,,,Summary1.As3,LITHUANIA,1994,Sector,,
International bunkers,565.70128,0.041271,0.014804,Summary1.As3,LITHUANIA,1995,Sector,,
CO2 emissions from biomass,1957.07808,,,Summary1.As3,LITHUANIA,1995,Sector,,
Long-term storage of C in waste disposal sites,2543.731595755479,,,Summary1.As3,LITHUANIA,1995,Sector,,
Indirect CO2,35.01752548812818,,,Summary1.As3,LITHUANIA,1995,Sector,,
International bunkers,512.98392,0.0383145,0.013404,Summary1.As3,LITHUANIA,1996,Sector,,
CO2 emissions from biomass,2144.1517200000003,,,Summary1.As3,LITHUANIA,1996,Sector,,
Long-term storage of C in waste disposal sites,2617.71098157951,,,Summary1.As3,LITHUANIA,1996,Sector,,
Indirect CO2,35.07250526222079,,,Summary1.As3,LITHUANIA,1996,Sector,,
International bunkers,281.86833,0.018092,0.007472,Summary1.As3,LITHUANIA,1997,Sector,,
CO2 emissions from biomass,2194.5177,,,Summary1.As3,LITHUANIA,1997,Sector,,
Long-term storage of C in waste disposal sites,2690.7660865091866,,,Summary1.As3,LITHUANIA,1997,Sector,,
Indirect CO2,35.14460442401542,,,Summary1.As3,LITHUANIA,1997,Sector,,
International bunkers,238.42143,0.015214,0.006412,Summary1.As3,LITHUANIA,1998,Sector,,
CO2 emissions from biomass,2419.39116,,,Summary1.As3,LITHUANIA,1998,Sector,,
Long-term storage of C in waste disposal sites,2760.227638012487,,,Summary1.As3,LITHUANIA,1998,Sector,,
Indirect CO2,35.2140611364472,,,Summary1.As3,LITHUANIA,1998,Sector,,
International bunkers,303.73292000000004,0.021647,0.008094,Summary1.As3,LITHUANIA,1999,Sector,,
CO2 emissions from biomass,2507.86098,,,Summary1.As3,LITHUANIA,1999,Sector,,
Long-term storage of C in waste disposal sites,2832.039039759352,,,Summary1.As3,LITHUANIA,1999,Sector,,
Indirect CO2,35.27790662614568,,,Summary1.As3,LITHUANIA,1999,Sector,,
International bunkers,362.83326,0.027282,0.0096,Summary1.As3,LITHUANIA,2000,Sector,,
CO2 emissions from biomass,2736.848844,,,Summary1.As3,LITHUANIA,2000,Sector,,
Long-term storage of C in waste disposal sites,2914.1978869361837,,,Summary1.As3,LITHUANIA,2000,Sector,,
Indirect CO2,35.34919555229299,,,Summary1.As3,LITHUANIA,2000,Sector,,
International bunkers,408.43126,0.0294315,0.010814,Summary1.As3,LITHUANIA,2001,Sector,,
CO2 emissions from biomass,2977.490808,,,Summary1.As3,LITHUANIA,2001,Sector,,
Long-term storage of C in waste disposal sites,2988.2607148256766,,,Summary1.As3,LITHUANIA,2001,Sector,,
Indirect CO2,35.39524081157248,,,Summary1.As3,LITHUANIA,2001,Sector,,
International bunkers,432.36723,0.0324555,0.011418,Summary1.As3,LITHUANIA,2002,Sector,,
CO2 emissions from biomass,3216.0071947860006,,,Summary1.As3,LITHUANIA,2002,Sector,,
Long-term storage of C in waste disposal sites,3062.057846915588,,,Summary1.As3,LITHUANIA,2002,Sector,,
Indirect CO2,35.45433655143545,,,Summary1.As3,LITHUANIA,2002,Sector,,
International bunkers,441.6481,0.032371,0.011652,Summary1.As3,LITHUANIA,2003,Sector,,
CO2 emissions from biomass,3396.3805972,,,Summary1.As3,LITHUANIA,2003,Sector,,
Long-term storage of C in waste disposal sites,3123.0960570289444,,,Summary1.As3,LITHUANIA,2003,Sector,,
Indirect CO2,35.51447285616303,,,Summary1.As3,LITHUANIA,2003,Sector,,
International bunkers,464.44011,0.0335665,0.012274,Summary1.As3,LITHUANIA,2004,Sector,,
CO2 emissions from biomass,3558.692878583784,,,Summary1.As3,LITHUANIA,2004,Sector,,
Long-term storage of C in waste disposal sites,3185.767294197914,,,Summary1.As3,LITHUANIA,2004,Sector,,
Indirect CO2,35.50257757932424,,,Summary1.As3,LITHUANIA,2004,Sector,,
International bunkers,595.69162,0.0424925,0.015712,Summary1.As3,LITHUANIA,2005,Sector,,
CO2 emissions from biomass,3597.573235380216,,,Summary1.As3,LITHUANIA,2005,Sector,,
Long-term storage of C in waste disposal sites,3252.5713464409428,,,Summary1.As3,LITHUANIA,2005,Sector,,
Indirect CO2,38.11230678376102,,,Summary1.As3,LITHUANIA,2005,Sector,,
International bunkers,595.9786899999999,0.0408615,0.01574,Summary1.As3,LITHUANIA,2006,Sector,,
CO2 emissions from biomass,3783.415565318919,,,Summary1.As3,LITHUANIA,2006,Sector,,
Long-term storage of C in waste disposal sites,3315.744646831854,,,Summary1.As3,LITHUANIA,2006,Sector,,
Indirect CO2,39.11549389162807,,,Summary1.As3,LITHUANIA,2006,Sector,,
International bunkers,578.8304099999999,0.035979,0.015372,Summary1.As3,LITHUANIA,2007,Sector,,
CO2 emissions from biomass,3822.7144145096217,,,Summary1.As3,LITHUANIA,2007,Sector,,
Long-term storage of C in waste disposal sites,3380.927418519841,,,Summary1.As3,LITHUANIA,2007,Sector,,
Indirect CO2,45.0264780896524,,,Summary1.As3,LITHUANIA,2007,Sector,,
International bunkers,515.35537,0.027642,0.013796,Summary1.As3,LITHUANIA,2008,Sector,,
CO2 emissions from biomass,4051.348623783784,,,Summary1.As3,LITHUANIA,2008,Sector,,
Long-term storage of C in waste disposal sites,3456.8824280953377,,,Summary1.As3,LITHUANIA,2008,Sector,,
Indirect CO2,39.00624102861337,,,Summary1.As3,LITHUANIA,2008,Sector,,
International bunkers,516.80125,0.037756,0.013614,Summary1.As3,LITHUANIA,2009,Sector,,
CO2 emissions from biomass,4157.75674972973,,,Summary1.As3,LITHUANIA,2009,Sector,,
Long-term storage of C in waste disposal sites,3525.710729184215,,,Summary1.As3,LITHUANIA,2009,Sector,,
