GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),SF6 (kt)
2.  Manufacturing industries and construction                          ,1519.2219790654767,0.09934761626343,0.05560550962634,Summary1.As1,LITHUANIA,1996,Subsector,1. Energy,,
3.  Transport,3408.592053807858,1.05520692779297,0.19712874849177,Summary1.As1,LITHUANIA,1996,Subsector,1. Energy,,
4.  Other sectors,2039.364058,6.01119055,0.2308277,Summary1.As1,LITHUANIA,1996,Subsector,1. Energy,,
5.  Other,1.0836,7.5e-06,3e-05,Summary1.As1,LITHUANIA,1996,Subsector,1. Energy,,
B. Fugitive emissions from fuels,85.6601562201862,8.27427671580343,0.00012865181711,Summary1.As1,LITHUANIA,1996,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,85.6601562201862,8.27427671580343,0.00012865181711,Summary1.As1,LITHUANIA,1996,Subsector,1. Energy,,
A.  Mineral industry,403.2730549570541,,,Summary1.As1,LITHUANIA,1996,Subsector,1. Energy,,
C.  Metal industry,5.07484220766817,,,Summary1.As1,LITHUANIA,1996,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,9.97333333333333,,,Summary1.As1,LITHUANIA,1996,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LITHUANIA,1996,Subsector,2.  Industrial processes and product use,7.50929878370439,
G.  Other product manufacture and use ,,,0.28607090283651,Summary1.As1,LITHUANIA,1996,Subsector,2.  Industrial processes and product use,,2e-06
A. Fuel combustion     Reference approach(2),13849.46875666668,,,Summary1.As1,LITHUANIA,1997,Subsector,1. Energy,,
                                           Sectoral approach(2),13532.176472840769,7.49335110755841,0.51459474692223,Summary1.As1,LITHUANIA,1997,Subsector,1. Energy,,
1.  Energy industries,6481.86666025,0.214137,0.0368217,Summary1.As1,LITHUANIA,1997,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1541.0428976813894,0.09792299801744,0.06875558380174,Summary1.As1,LITHUANIA,1997,Subsector,1. Energy,,
3.  Transport,3780.485899909378,1.10736095954097,0.20940616312049,Summary1.As1,LITHUANIA,1997,Subsector,1. Energy,,
4.  Other sectors,1727.5529350000002,6.07392165,0.1995773,Summary1.As1,LITHUANIA,1997,Subsector,1. Energy,,
5.  Other,1.22808,8.5e-06,3.4e-05,Summary1.As1,LITHUANIA,1997,Subsector,1. Energy,,
B. Fugitive emissions from fuels,109.36663467222375,8.20805640037415,0.00017596248535,Summary1.As1,LITHUANIA,1997,Subsector,1. Energy,,
